dataset,n,budget,quality_lower,quality_upper,cost_saving_lower,baseline20_completion,completed_subset_n,completed_subset_saving,at20,zero_upper
scifact,300,4096,1.0,1.0,0.03156015708675475,1.0,300,0.03156015708675475,0.9566666666666667,0.0
scifact,300,8192,1.0,1.0,0.0,1.0,300,0.0,1.0,0.0
scifact,300,10000,1.0,1.0,0.0,1.0,300,0.0,1.0,0.0
trec-covid,50,128,0.5005677312449675,0.5005677312449675,0.9651184338176784,0.66,33,0.9257109692396982,0.0,0.06
trec-covid,50,256,0.6909396645933843,0.6909396645933843,0.9320626996152127,0.66,33,0.857313705833729,0.12,0.0
trec-covid,50,512,0.7959834932211096,0.7959834932211096,0.8767154645243571,0.66,33,0.7552542253644982,0.3,0.0
trec-covid,50,1024,0.8747149386087789,0.8747149386087789,0.7883124952310359,0.66,33,0.6230675882446051,0.42,0.0
trec-covid,50,2048,0.9086591430187775,0.9086591430187775,0.6361852647183859,0.66,33,0.4383299037971121,0.46,0.0
trec-covid,50,4096,0.9377478797360335,0.9377478797360335,0.3648775330012317,0.66,33,0.17517015775866618,0.54,0.0
trec-covid,50,8192,0.9623794901662984,0.9903980142603198,0.0,0.66,33,0.0,0.66,0.0
trec-covid,50,10000,0.9623794901662984,0.9990844897648196,0.0,0.66,33,0.0,0.66,0.0
trec-covid-chrono-r1,30,128,0.6292198097623922,0.6292198097623922,0.9388826993474455,0.8666666666666667,26,0.9002398081534773,0.0,0.0
trec-covid-chrono-r1,30,256,0.8012038760604566,0.8012038760604566,0.882572019735795,0.8666666666666667,26,0.8095323741007194,0.13333333333333333,0.0
trec-covid-chrono-r1,30,512,0.8949666880292053,0.8949666880292053,0.7929014801846251,0.8666666666666667,26,0.6713429256594724,0.4,0.0
trec-covid-chrono-r1,30,1024,0.9344274003435683,0.9344274003435683,0.6677224255928697,0.8666666666666667,26,0.49697242206235015,0.5333333333333333,0.0
trec-covid-chrono-r1,30,2048,0.9665372282350356,0.9665372282350356,0.47364316409358587,0.8666666666666667,26,0.25422661870503593,0.6333333333333333,0.0
trec-covid-chrono-r1,30,4096,0.9818039675868838,0.9818039675868838,0.2338214228871558,0.8666666666666667,26,0.048111510791366885,0.8,0.0
trec-covid-chrono-r1,30,8192,0.9847850953939297,0.9950625514657686,0.0,0.8666666666666667,26,0.0,0.8666666666666667,0.0
trec-covid-chrono-r1,30,10000,0.9847850953939297,0.9950625514657686,0.0,0.8666666666666667,26,0.0,0.8666666666666667,0.0
trec-covid-chrono-r2,30,128,0.5423840095244999,0.5423840095244999,0.9438760596316866,0.8666666666666667,26,0.9086768014927831,0.0,0.0
trec-covid-chrono-r2,30,256,0.7149916509776216,0.7149916509776216,0.8915960245542239,0.8666666666666667,26,0.8245705504637506,0.16666666666666666,0.0
trec-covid-chrono-r2,30,512,0.8411027404138011,0.8411027404138011,0.8081116632563579,0.8666666666666667,26,0.6959277756434883,0.3,0.0
trec-covid-chrono-r2,30,1024,0.9137942332757304,0.9137942332757304,0.6802981584332066,0.8666666666666667,26,0.5121563031666758,0.4666666666666667,0.0
