dataset,batch,budget,cap,n,both_known,delta_lower,delta_upper,ci_lower,ci_upper
msmarco-passage-trec-dl-2020,1,1024,100,54,1.0,1.9259259259259258,1.9259259259259258,1.2777777777777777,2.7222222222222223
msmarco-passage-trec-dl-2020,1,2048,20,54,1.0,0.018518518518518517,0.018518518518518517,0.0,0.05555555555555555
msmarco-passage-trec-dl-2020,1,2048,100,54,1.0,3.4074074074074074,3.4074074074074074,1.537037037037037,6.074074074074074
msmarco-passage-trec-dl-2020,1,4096,20,54,1.0,0.09259259259259259,0.09259259259259259,0.0,0.25925925925925924
msmarco-passage-trec-dl-2020,1,4096,100,54,1.0,1.7407407407407407,1.7407407407407407,1.0,2.7226851851851825
msmarco-passage-trec-dl-2020,1,8192,20,54,0.3333333333333333,0.05555555555555555,0.5555555555555556,-0.018518518518518517,1.0555555555555556
msmarco-passage-trec-dl-2020,1,8192,100,54,0.3333333333333333,1.3703703703703705,36.7962962962963,0.5185185185185185,45.24166666666666
msmarco-passage-trec-dl-2020,1,10000,20,54,0.14814814814814814,-0.037037037037037035,0.5555555555555556,-0.14814814814814814,1.0555555555555556
msmarco-passage-trec-dl-2020,1,10000,100,54,0.14814814814814814,-0.037037037037037035,46.351851851851855,-0.1111111111111111,53.706018518518505
msmarco-passage-trec-dl-2020,64,128,20,54,1.0,0.0,0.0,0.0,0.0
msmarco-passage-trec-dl-2020,64,128,100,54,1.0,0.0,0.0,0.0,0.0
msmarco-passage-trec-dl-2020,64,256,20,54,1.0,0.0,0.0,0.0,0.0
msmarco-passage-trec-dl-2020,64,256,100,54,1.0,0.018518518518518517,0.018518518518518517,0.0,0.05555555555555555
msmarco-passage-trec-dl-2020,64,512,20,54,1.0,0.018518518518518517,0.018518518518518517,0.0,0.05555555555555555
msmarco-passage-trec-dl-2020,64,512,100,54,1.0,0.9444444444444444,0.9444444444444444,0.2962962962962963,1.9259259259259258
msmarco-passage-trec-dl-2020,64,1024,20,54,1.0,0.14814814814814814,0.14814814814814814,0.037037037037037035,0.2777777777777778
msmarco-passage-trec-dl-2020,64,1024,100,54,1.0,1.6296296296296295,1.6296296296296295,0.9814814814814815,2.3518518518518516
msmarco-passage-trec-dl-2020,64,2048,20,54,1.0,0.018518518518518517,0.018518518518518517,0.0,0.05555555555555555
msmarco-passage-trec-dl-2020,64,2048,100,54,1.0,3.3703703703703702,3.3703703703703702,1.5,5.814814814814815
msmarco-passage-trec-dl-2020,64,4096,20,54,1.0,0.09259259259259259,0.09259259259259259,0.0,0.25925925925925924
msmarco-passage-trec-dl-2020,64,4096,100,54,1.0,1.7222222222222223,1.7222222222222223,0.9074074074074074,2.63009259259259
msmarco-passage-trec-dl-2020,64,8192,20,54,0.3333333333333333,0.05555555555555555,0.5555555555555556,-0.018518518518518517,1.0740740740740742
msmarco-passage-trec-dl-2020,64,8192,100,54,0.3333333333333333,1.3703703703703705,36.7962962962963,0.5370370370370371,44.8337962962963
msmarco-passage-trec-dl-2020,64,10000,20,54,0.14814814814814814,-0.037037037037037035,0.5555555555555556,-0.1111111111111111,1.037037037037037
msmarco-passage-trec-dl-2020,64,10000,100,54,0.14814814814814814,-0.037037037037037035,46.351851851851855,-0.1111111111111111,53.37083333333334
nfcorpus,1,128,20,323,1.0,0.23219814241486067,0.23219814241486067,0.1609907120743034,0.30959752321981426
nfcorpus,1,128,100,323,1.0,0.3219814241486068,0.3219814241486068,0.23839009287925697,0.4148606811145511
nfcorpus,1,256,20,323,1.0,0.18575851393188855,0.18575851393188855,0.1238390092879257,0.2631578947368421
nfcorpus,1,256,100,323,1.0,0.5108359133126935,0.5108359133126935,0.3715170278637771,0.6842105263157895
nfcorpus,1,512,20,323,1.0,0.12693498452012383,0.12693498452012383,0.0804953560371517,0.17956656346749225
nfcorpus,1,512,100,323,1.0,0.8080495356037152,0.8080495356037152,0.6036377708978328,1.0557275541795665
nfcorpus,1,1024,20,323,1.0,0.07430340557275542,0.07430340557275542,0.04024767801857585,0.11455108359133127
nfcorpus,1,1024,100,323,1.0,0.8235294117647058,0.8235294117647058,0.6191950464396285,1.0465170278637768
nfcorpus,1,2048,20,323,1.0,0.04643962848297214,0.04643962848297214,0.018575851393188854,0.0804953560371517
nfcorpus,1,2048,100,323,1.0,1.6501547987616099,1.6501547987616099,1.1238390092879258,2.250851393188854
nfcorpus,1,4096,20,323,1.0,0.009287925696594427,0.009287925696594427,0.0,0.02786377708978328
nfcorpus,1,4096,100,323,1.0,1.2755417956656347,1.2755417956656347,0.6655572755417957,2.0435758513931876
nfcorpus,1,8192,20,323,1.0,0.0,0.0,0.0,0.0
nfcorpus,1,8192,100,323,1.0,0.0,0.0,0.0,0.0
nfcorpus,1,10000,20,323,1.0,0.0,0.0,0.0,0.0
nfcorpus,1,10000,100,323,1.0,0.0,0.0,0.0,0.0
nfcorpus,64,128,20,323,1.0,0.0,0.0,0.0,0.0
nfcorpus,64,128,100,323,1.0,0.0,0.0,0.0,0.0
nfcorpus,64,256,20,323,1.0,0.0,0.0,0.0,0.0
nfcorpus,64,256,100,323,1.0,0.006191950464396285,0.006191950464396285,-0.018575851393188854,0.03715170278637771
nfcorpus,64,512,20,323,1.0,0.04643962848297214,0.04643962848297214,0.018575851393188854,0.08359133126934984
nfcorpus,64,512,100,323,1.0,0.34674922600619196,0.34674922600619196,0.21671826625386997,0.5015479876160991
nfcorpus,64,1024,20,323,1.0,0.06501547987616099,0.06501547987616099,0.034055727554179564,0.1021671826625387
nfcorpus,64,1024,100,323,1.0,0.6904024767801857,0.6904024767801857,0.5139318885448917,0.8978328173374613
nfcorpus,64,2048,20,323,1.0,0.04024767801857585,0.04024767801857585,0.015402476780185763,0.07128482972136181
nfcorpus,64,2048,100,323,1.0,1.5170278637770898,1.5170278637770898,1.0154024767801857,2.07438080495356
nfcorpus,64,4096,20,323,1.0,0.009287925696594427,0.009287925696594427,0.0,0.02786377708978328
nfcorpus,64,4096,100,323,1.0,1.263157894736842,1.263157894736842,0.6470588235294118,1.9907120743034055
nfcorpus,64,8192,20,323,1.0,0.0,0.0,0.0,0.0
nfcorpus,64,8192,100,323,1.0,0.0,0.0,0.0,0.0
nfcorpus,64,10000,20,323,1.0,0.0,0.0,0.0,0.0
nfcorpus,64,10000,100,323,1.0,0.0,0.0,0.0,0.0
scifact,1,128,20,300,1.0,0.37333333333333335,0.37333333333333335,0.29,0.46
scifact,1,128,100,300,1.0,0.5066666666666667,0.5066666666666667,0.4033333333333333,0.6233333333333333
scifact,1,256,20,300,1.0,0.23,0.23,0.17,0.2966666666666667
scifact,1,256,100,300,1.0,0.73,0.73,0.5999166666666667,0.8733333333333333
scifact,1,512,20,300,1.0,0.17333333333333334,0.17333333333333334,0.11658333333333334,0.24
scifact,1,512,100,300,1.0,1.2233333333333334,1.2233333333333334,1.0466666666666666,1.42
scifact,1,1024,20,300,1.0,0.09333333333333334,0.09333333333333334,0.05,0.14666666666666667
scifact,1,1024,100,300,1.0,2.026666666666667,2.026666666666667,1.6133333333333333,2.5434166666666664
scifact,1,2048,20,300,1.0,0.13666666666666666,0.13666666666666666,0.06991666666666668,0.22666666666666666
scifact,1,2048,100,300,1.0,3.71,3.71,3.0199166666666666,4.473416666666666
scifact,1,4096,20,300,1.0,0.04,0.04,0.013333333333333334,0.07333333333333333
scifact,1,4096,100,300,1.0,6.32,6.32,5.0565,7.553833333333331
scifact,1,8192,20,300,0.97,0.0,0.0,0.0,0.0
scifact,1,8192,100,300,0.97,0.2966666666666667,1.1533333333333333,-0.4403333333333333,1.990083333333333
scifact,1,10000,20,300,0.9633333333333334,0.0,0.0,0.0,0.0
scifact,1,10000,100,300,0.9633333333333334,-0.7866666666666666,0.7866666666666666,-1.50675,1.4967499999999996
scifact,64,128,20,300,1.0,0.0,0.0,0.0,0.0
scifact,64,128,100,300,1.0,0.0,0.0,0.0,0.0
scifact,64,256,20,300,1.0,0.0,0.0,0.0,0.0
scifact,64,256,100,300,1.0,0.0,0.0,0.0,0.0
scifact,64,512,20,300,1.0,0.04,0.04,0.01,0.08666666666666667
scifact,64,512,100,300,1.0,0.48333333333333334,0.48333333333333334,0.35,0.6333333333333333
scifact,64,1024,20,300,1.0,0.06333333333333334,0.06333333333333334,0.02666666666666667,0.10666666666666667
scifact,64,1024,100,300,1.0,1.6766666666666667,1.6766666666666667,1.3032499999999998,2.160083333333333
scifact,64,2048,20,300,1.0,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.22008333333333288
scifact,64,2048,100,300,1.0,3.59,3.59,2.8933333333333335,4.296749999999999
scifact,64,4096,20,300,1.0,0.04,0.04,0.013333333333333334,0.07333333333333333
scifact,64,4096,100,300,1.0,6.236666666666666,6.236666666666666,5.019916666666666,7.4803333333333315
scifact,64,8192,20,300,0.97,0.0,0.0,0.0,0.0
scifact,64,8192,100,300,0.97,0.2966666666666667,1.1533333333333333,-0.40349999999999997,2.00675
scifact,64,10000,20,300,0.9633333333333334,0.0,0.0,0.0,0.0
scifact,64,10000,100,300,0.9633333333333334,-0.7866666666666666,0.7866666666666666,-1.4900833333333334,1.49
trec-covid,1,128,20,50,1.0,0.18,0.18,0.06,0.32
trec-covid,1,128,100,50,1.0,0.18,0.18,0.06,0.34
trec-covid,1,256,20,50,1.0,0.32,0.32,0.14,0.52
trec-covid,1,256,100,50,1.0,0.44,0.44,0.2,0.68
trec-covid,1,512,20,50,1.0,0.24,0.24,0.08,0.44
trec-covid,1,512,100,50,1.0,0.74,0.74,0.36,1.18
trec-covid,1,1024,20,50,1.0,0.26,0.26,0.12,0.42
trec-covid,1,1024,100,50,1.0,1.74,1.74,0.8595,2.88
trec-covid,1,2048,20,50,1.0,0.2,0.2,0.08,0.34
