dataset,policy,batch,budget,n,coverage,mean_k_lower,mean_k_upper,k20_lower,k20_upper,median_k_lower,p10_k_lower,empty_lower,empty_upper,at10_lower,at10_upper,at20_lower,at20_upper
nfcorpus,balanced,64,10000,323,1.0,100.0,100.0,20.0,20.0,100.0,100.0,0.0,0.0,1.0,1.0,1.0,1.0
nfcorpus,dibud,1,128,323,1.0,24.86996904024768,24.86996904024768,11.724458204334365,11.724458204334365,11.0,3.0,0.02476780185758514,0.02476780185758514,0.5851393188854489,0.5851393188854489,0.2786377708978328,0.2786377708978328
nfcorpus,dibud,1,256,323,1.0,30.21362229102167,30.21362229102167,14.569659442724458,14.569659442724458,17.0,5.0,0.018575851393188854,0.018575851393188854,0.7554179566563467,0.7554179566563467,0.4520123839009288,0.4520123839009288
nfcorpus,dibud,1,512,323,1.0,37.73684210526316,37.73684210526316,16.681114551083592,16.681114551083592,25.0,8.0,0.009287925696594427,0.009287925696594427,0.8792569659442725,0.8792569659442725,0.6346749226006192,0.6346749226006192
nfcorpus,dibud,1,1024,323,1.0,47.43653250773994,47.43653250773994,18.13003095975232,18.13003095975232,38.0,13.0,0.0030959752321981426,0.0030959752321981426,0.9195046439628483,0.9195046439628483,0.7739938080495357,0.7739938080495357
nfcorpus,dibud,1,2048,323,1.0,63.71207430340557,63.71207430340557,19.28173374613003,19.28173374613003,61.0,20.0,0.0,0.0,0.9721362229102167,0.9721362229102167,0.9009287925696594,0.9009287925696594
nfcorpus,dibud,1,4096,323,1.0,94.19195046439629,94.19195046439629,19.987616099071207,19.987616099071207,100.0,76.0,0.0,0.0,1.0,1.0,0.9969040247678018,0.9969040247678018
nfcorpus,dibud,1,8192,323,1.0,100.0,100.0,20.0,20.0,100.0,100.0,0.0,0.0,1.0,1.0,1.0,1.0
nfcorpus,dibud,1,10000,323,1.0,100.0,100.0,20.0,20.0,100.0,100.0,0.0,0.0,1.0,1.0,1.0,1.0
nfcorpus,dibud,64,128,323,1.0,24.54798761609907,24.54798761609907,11.492260061919504,11.492260061919504,11.0,3.0,0.02476780185758514,0.02476780185758514,0.56656346749226,0.56656346749226,0.2476780185758514,0.2476780185758514
nfcorpus,dibud,64,256,323,1.0,29.708978328173373,29.708978328173373,14.38390092879257,14.38390092879257,17.0,5.0,0.018575851393188854,0.018575851393188854,0.7492260061919505,0.7492260061919505,0.4241486068111455,0.4241486068111455
nfcorpus,dibud,64,512,323,1.0,37.27554179566563,37.27554179566563,16.60061919504644,16.60061919504644,25.0,7.200000000000003,0.009287925696594427,0.009287925696594427,0.8730650154798761,0.8730650154798761,0.631578947368421,0.631578947368421
nfcorpus,dibud,64,1024,323,1.0,47.303405572755416,47.303405572755416,18.120743034055728,18.120743034055728,38.0,13.0,0.0030959752321981426,0.0030959752321981426,0.9195046439628483,0.9195046439628483,0.7739938080495357,0.7739938080495357
nfcorpus,dibud,64,2048,323,1.0,63.578947368421055,63.578947368421055,19.275541795665635,19.275541795665635,60.0,20.0,0.0,0.0,0.9721362229102167,0.9721362229102167,0.9009287925696594,0.9009287925696594
