dataset,snapshot,query_id,L,accesses,ndcg10,full_ndcg10,ordered20,overlap20
msmarco-passage-trec-dl-2020,0,390360,100,200,0.6397216908378293,0.6640143973443788,0,0.75
msmarco-passage-trec-dl-2020,0,390360,200,400,0.6640143973443788,0.6640143973443788,0,0.95
msmarco-passage-trec-dl-2020,0,390360,500,1000,0.6640143973443788,0.6640143973443788,0,0.95
msmarco-passage-trec-dl-2020,0,390360,1000,2000,0.6640143973443788,0.6640143973443788,0,1.0
msmarco-passage-trec-dl-2020,0,390360,2000,4000,0.6640143973443788,0.6640143973443788,1,1.0
msmarco-passage-trec-dl-2020,0,390360,5000,10000,0.6640143973443788,0.6640143973443788,1,1.0
nfcorpus,0,PLAIN-1516,10,12,0.0,0.0,0,0.5
nfcorpus,0,PLAIN-1516,20,22,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1516,50,52,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1516,100,102,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1516,200,202,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1516,500,502,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1516,1000,1002,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1516,2000,2002,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1516,5000,3635,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-2920,10,20,0.0,0.0,0,0.55
nfcorpus,0,PLAIN-2920,20,40,0.0,0.0,0,0.65
nfcorpus,0,PLAIN-2920,50,100,0.0,0.0,0,0.75
nfcorpus,0,PLAIN-2920,100,200,0.0,0.0,0,0.8
nfcorpus,0,PLAIN-2920,200,400,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-2920,500,1000,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-2920,1000,2000,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-2920,2000,3077,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-2920,5000,4710,0.0,0.0,1,1.0
scifact,0,674,10,20,0.3562071871080222,0.3333333333333333,0,0.6
scifact,0,674,20,40,0.31546487678572877,0.3333333333333333,0,0.7
scifact,0,674,50,100,0.3333333333333333,0.3333333333333333,0,0.9
scifact,0,674,100,200,0.3333333333333333,0.3333333333333333,1,1.0
scifact,0,674,200,400,0.3333333333333333,0.3333333333333333,1,1.0
scifact,0,674,500,1000,0.3333333333333333,0.3333333333333333,1,1.0
scifact,0,674,1000,2000,0.3333333333333333,0.3333333333333333,1,1.0
scifact,0,674,2000,4000,0.3333333333333333,0.3333333333333333,1,1.0
scifact,0,674,5000,8279,0.3333333333333333,0.3333333333333333,1,1.0
scifact,0,1150,10,20,1.0,1.0,0,0.6
scifact,0,1150,20,40,1.0,1.0,0,0.65
scifact,0,1150,50,100,1.0,1.0,0,0.75
scifact,0,1150,100,200,1.0,1.0,1,1.0
scifact,0,1150,200,400,1.0,1.0,1,1.0
scifact,0,1150,500,1000,1.0,1.0,1,1.0
scifact,0,1150,1000,2000,1.0,1.0,1,1.0
scifact,0,1150,2000,4000,1.0,1.0,1,1.0
scifact,0,1150,5000,8207,1.0,1.0,1,1.0
trec-covid,0,8,10,20,0.5302442049991306,0.8669479898642709,0,0.65
trec-covid,0,8,20,40,0.6691255538181726,0.8669479898642709,0,0.65
trec-covid,0,8,50,100,0.6691255538181726,0.8669479898642709,0,0.65
trec-covid,0,8,100,200,0.8521705090845474,0.8669479898642709,0,0.75
trec-covid,0,8,200,400,0.9363792118010481,0.8669479898642709,0,0.9
trec-covid,0,8,500,1000,0.8669479898642709,0.8669479898642709,0,0.95
trec-covid,0,8,1000,2000,0.8669479898642709,0.8669479898642709,0,0.95
trec-covid,0,8,2000,4000,0.8669479898642709,0.8669479898642709,0,0.95
trec-covid,0,8,5000,10000,0.8669479898642709,0.8669479898642709,0,1.0
