budget,method,cap,ndcg10_linear,ndcg10_exponential,recall
1024,blocker_zero,20,0.6442404054625532,0.6176631493007746,0.34951312147520947
1024,blocker_zero,100,0.6442404054625532,0.6176631493007746,0.5206872721616519
1024,fixed_topL_zero,20,0.644239661575411,0.6176624054136324,0.34938763750707363
1024,fixed_topL_zero,100,0.644239661575411,0.6176624054136324,0.5207135889758647
2048,balanced_cert,20,0.6382414987603124,0.6119568393488848,0.34200951590902406
2048,balanced_cert,100,0.6382414987603124,0.6119568393488848,0.41657668240296575
2048,balanced_zero,20,0.6437014281260776,0.6171395151702627,0.35025532251694086
2048,balanced_zero,100,0.6437014281260776,0.6171395151702627,0.521032360669191
2048,blocker_cert,20,0.6386390241010388,0.6123101952073081,0.34215243324677624
2048,blocker_cert,100,0.6386390241010388,0.6123101952073081,0.42390531903508083
2048,blocker_zero,20,0.6436670076080071,0.6171033390286886,0.35021079460143595
2048,blocker_zero,100,0.6436670076080071,0.6171033390286886,0.5207874709066378
2048,fixed_topL_zero,20,0.6436393761704592,0.6170774632146443,0.35025532251694086
2048,fixed_topL_zero,100,0.6436393761704592,0.6170774632146443,0.520985585281003
4096,balanced_cert,20,0.6413575726429713,0.6150009932231721,0.344287452736607
4096,balanced_cert,100,0.6413575726429713,0.6150009932231721,0.4378868327238693
4096,balanced_zero,20,0.6442933253574195,0.6177375802194592,0.35012924684965024
4096,balanced_zero,100,0.6442933253574195,0.6177375802194592,0.5213760470246176
4096,blocker_cert,20,0.6413575726429713,0.6150009932231721,0.3443432329410701
4096,blocker_cert,100,0.6413575726429713,0.6150009932231721,0.44387485059067394
4096,blocker_zero,20,0.6442933253574195,0.6177375802194592,0.3502247963996122
4096,blocker_zero,100,0.6442933253574195,0.6177375802194592,0.5213538416444353
4096,fixed_topL_zero,20,0.6442872924571715,0.6177315473192113,0.35012924684965024
4096,fixed_topL_zero,100,0.6442872924571715,0.6177315473192113,0.5213932684137551
8192,balanced_cert,20,0.6418770726895847,0.6155204932697855,0.34589641708521884
8192,balanced_cert,100,0.6418770726895847,0.6155204932697855,0.4527227795065465
8192,balanced_zero,20,0.6443894244516718,0.6177932352084654,0.35049169358890975
8192,balanced_zero,100,0.6443894244516718,0.6177932352084654,0.5213126138991564
8192,blocker_cert,20,0.6425717393749766,0.6162151599551775,0.34610587021210976
8192,blocker_cert,100,0.6425717393749766,0.6162151599551775,0.4565729862673896
8192,blocker_zero,20,0.6443894244516718,0.6177932352084654,0.35049169358890975
8192,blocker_zero,100,0.6443894244516718,0.6177932352084654,0.5212551718360148
8192,fixed_topL_zero,20,0.6443894244516718,0.6177932352084654,0.35049169358890975
8192,fixed_topL_zero,100,0.6443894244516718,0.6177932352084654,0.5213126138991564
10000,balanced_cert,20,0.6428219676672091,0.6163883918569575,0.3462120062335252
10000,balanced_cert,100,0.6428219676672091,0.6163883918569575,0.4570223322879994
10000,balanced_zero,20,0.6444055273691377,0.617807759448206,0.3504853241621581
10000,balanced_zero,100,0.6444055273691377,0.617807759448206,0.5212898582214024
10000,blocker_cert,20,0.6428219676672091,0.6163883918569575,0.3462120062335252
10000,blocker_cert,100,0.6428219676672091,0.6163883918569575,0.4570223322879994
10000,blocker_zero,20,0.6444055273691377,0.617807759448206,0.3504853241621581
10000,blocker_zero,100,0.6444055273691377,0.617807759448206,0.5212898582214024
10000,fixed_topL_zero,20,0.6444055273691377,0.617807759448206,0.3504853241621581
10000,fixed_topL_zero,100,0.6444055273691377,0.617807759448206,0.5212898582214024
