dataset,query_id,budget,method,cap,ndcg10_linear,ndcg10_exponential,recall
msmarco-passage-trec-dl-2019,148538,128,balanced_zero,100,0.4812489149319909,0.4709335881838884,0.43564356435643564
msmarco-passage-trec-dl-2019,451602,128,balanced_zero,20,0.41166147836518135,0.2848920447693976,0.07792207792207792
msmarco-passage-trec-dl-2019,451602,128,balanced_zero,100,0.41166147836518135,0.2848920447693976,0.22727272727272727
msmarco-passage-trec-dl-2019,359349,128,balanced_zero,20,0.8397728661031808,0.7253249133197388,0.32142857142857145
msmarco-passage-trec-dl-2019,359349,128,balanced_zero,100,0.8397728661031808,0.7253249133197388,0.6428571428571429
msmarco-passage-trec-dl-2019,1115776,128,balanced_zero,20,0.7552027838055048,0.7501276406848634,0.5416666666666666
msmarco-passage-trec-dl-2019,1115776,128,balanced_zero,100,0.7552027838055048,0.7501276406848634,0.75
msmarco-passage-trec-dl-2019,1112341,128,balanced_zero,20,0.6908286993811015,0.6066448242211794,0.08450704225352113
msmarco-passage-trec-dl-2019,1112341,128,balanced_zero,100,0.6908286993811015,0.6066448242211794,0.22535211267605634
msmarco-passage-trec-dl-2019,131843,128,balanced_zero,20,0.9216017310213247,0.9216017310213247,0.203125
msmarco-passage-trec-dl-2019,131843,128,balanced_zero,100,0.9216017310213247,0.9216017310213247,0.34375
msmarco-passage-trec-dl-2019,104861,128,balanced_zero,20,1.0,1.0,0.14184397163120568
msmarco-passage-trec-dl-2019,104861,128,balanced_zero,100,1.0,1.0,0.475177304964539
msmarco-passage-trec-dl-2019,833860,128,balanced_zero,20,0.9015027499869023,0.8521086920059355,0.22666666666666666
msmarco-passage-trec-dl-2019,833860,128,balanced_zero,100,0.9015027499869023,0.8521086920059355,0.56
msmarco-passage-trec-dl-2019,207786,128,balanced_zero,20,0.5245542131916595,0.42212304641184956,0.5416666666666666
msmarco-passage-trec-dl-2019,207786,128,balanced_zero,100,0.5245542131916595,0.42212304641184956,0.75
msmarco-passage-trec-dl-2019,1114819,128,balanced_zero,20,0.8339096563431521,0.7152736965882608,0.05865102639296188
msmarco-passage-trec-dl-2019,1114819,128,balanced_zero,100,0.8339096563431521,0.7152736965882608,0.25806451612903225
