dataset,budget,method,cap,ndcg10_linear,ndcg10_exponential,recall
msmarco-passage-trec-dl-2019,10000,fixed_topL_zero,100,0.6811598045187114,0.612538843404182,0.5644818935054664
msmarco-passage-trec-dl-2020,128,balanced_cert,20,0.5742164887055952,0.5367704201034346,0.22858793865176422
msmarco-passage-trec-dl-2020,128,balanced_cert,100,0.5742164887055952,0.5367704201034346,0.23520763354306404
msmarco-passage-trec-dl-2020,128,balanced_zero,20,0.6291477837583717,0.5854078550952805,0.3226227764378152
msmarco-passage-trec-dl-2020,128,balanced_zero,100,0.6291477837583717,0.5854078550952805,0.6015259577399311
msmarco-passage-trec-dl-2020,128,blocker_cert,20,0.5742164887055952,0.5367704201034346,0.22858793865176422
msmarco-passage-trec-dl-2020,128,blocker_cert,100,0.5742164887055952,0.5367704201034346,0.23520763354306404
msmarco-passage-trec-dl-2020,128,blocker_zero,20,0.6291477837583717,0.5854078550952805,0.3226227764378152
msmarco-passage-trec-dl-2020,128,blocker_zero,100,0.6291477837583717,0.5854078550952805,0.6015259577399311
msmarco-passage-trec-dl-2020,128,fixed_topL_zero,20,0.6291477837583717,0.5854078550952805,0.3226227764378152
msmarco-passage-trec-dl-2020,128,fixed_topL_zero,100,0.6291477837583717,0.5854078550952805,0.6015259577399311
msmarco-passage-trec-dl-2020,256,balanced_cert,20,0.6032079634021748,0.5623448457413724,0.2633326820060559
msmarco-passage-trec-dl-2020,256,balanced_cert,100,0.6032079634021748,0.5623448457413724,0.29334753383732093
msmarco-passage-trec-dl-2020,256,balanced_zero,20,0.6195602687619213,0.5759050276080117,0.31624675544568726
msmarco-passage-trec-dl-2020,256,balanced_zero,100,0.6195602687619213,0.5759050276080117,0.610839147267181
msmarco-passage-trec-dl-2020,256,blocker_cert,20,0.6032079634021748,0.5623448457413724,0.2633326820060559
msmarco-passage-trec-dl-2020,256,blocker_cert,100,0.6032079634021748,0.5623448457413724,0.29334753383732093
msmarco-passage-trec-dl-2020,256,blocker_zero,20,0.6195602687619213,0.5759050276080117,0.31624675544568726
msmarco-passage-trec-dl-2020,256,blocker_zero,100,0.6195602687619213,0.5759050276080117,0.6103247439749999
msmarco-passage-trec-dl-2020,256,fixed_topL_zero,20,0.6195602687619213,0.5759050276080117,0.31624675544568726
msmarco-passage-trec-dl-2020,256,fixed_topL_zero,100,0.6195602687619213,0.5759050276080117,0.610839147267181
msmarco-passage-trec-dl-2020,512,balanced_cert,20,0.6154321503274462,0.5733271758878544,0.28115727560087544
msmarco-passage-trec-dl-2020,512,balanced_cert,100,0.6154321503274462,0.5733271758878544,0.3401655642057742
msmarco-passage-trec-dl-2020,512,balanced_zero,20,0.622109752381611,0.5787491032877581,0.31588670473456903
msmarco-passage-trec-dl-2020,512,balanced_zero,100,0.622109752381611,0.5787491032877581,0.617978246702898
msmarco-passage-trec-dl-2020,512,blocker_cert,20,0.6154321503274462,0.5733271758878544,0.28115727560087544
msmarco-passage-trec-dl-2020,512,blocker_cert,100,0.6154321503274462,0.5733271758878544,0.3470307772376077
msmarco-passage-trec-dl-2020,512,blocker_zero,20,0.622109752381611,0.5787491032877581,0.3155437692064483
msmarco-passage-trec-dl-2020,512,blocker_zero,100,0.622109752381611,0.5787491032877581,0.6168095632657422
msmarco-passage-trec-dl-2020,512,fixed_topL_zero,20,0.622109752381611,0.5787491032877581,0.31588670473456903
msmarco-passage-trec-dl-2020,512,fixed_topL_zero,100,0.622109752381611,0.5787491032877581,0.617978246702898
msmarco-passage-trec-dl-2020,1024,balanced_cert,20,0.6213796830690003,0.578060625255526,0.2935977347914515
msmarco-passage-trec-dl-2020,1024,balanced_cert,100,0.6213796830690003,0.578060625255526,0.38608461782431425
msmarco-passage-trec-dl-2020,1024,balanced_zero,20,0.6254302355868899,0.5818797450318166,0.3183813688047764
msmarco-passage-trec-dl-2020,1024,balanced_zero,100,0.6254302355868899,0.5818797450318166,0.621211931049709
msmarco-passage-trec-dl-2020,1024,blocker_cert,20,0.6225965549887615,0.5792909717421071,0.2950688845342811
msmarco-passage-trec-dl-2020,1024,blocker_cert,100,0.6225965549887615,0.5792909717421071,0.398795864741301
msmarco-passage-trec-dl-2020,1024,blocker_zero,20,0.6254302355868899,0.5818797450318166,0.31798058754964886
msmarco-passage-trec-dl-2020,1024,blocker_zero,100,0.6254302355868899,0.5818797450318166,0.6201324698896026
msmarco-passage-trec-dl-2020,1024,fixed_topL_zero,20,0.6254302355868899,0.5818797450318166,0.3183813688047764
msmarco-passage-trec-dl-2020,1024,fixed_topL_zero,100,0.6254302355868899,0.5818797450318166,0.621211931049709
msmarco-passage-trec-dl-2020,2048,balanced_cert,20,0.6238234850527317,0.5805179018060773,0.3013406975608849
msmarco-passage-trec-dl-2020,2048,balanced_cert,100,0.6238234850527317,0.5805179018060773,0.42343921729193346
msmarco-passage-trec-dl-2020,2048,balanced_zero,20,0.6242520728424649,0.5807015822873915,0.3205939710173786
msmarco-passage-trec-dl-2020,2048,balanced_zero,100,0.6242520728424649,0.5807015822873915,0.6232803311566661
msmarco-passage-trec-dl-2020,2048,blocker_cert,20,0.6238234850527317,0.5805179018060773,0.3013406975608849
msmarco-passage-trec-dl-2020,2048,blocker_cert,100,0.6238234850527317,0.5805179018060773,0.4331107632608982
msmarco-passage-trec-dl-2020,2048,blocker_zero,20,0.6242520728424649,0.5807015822873915,0.3205939710173786
msmarco-passage-trec-dl-2020,2048,blocker_zero,100,0.6242520728424649,0.5807015822873915,0.6227379294468919
msmarco-passage-trec-dl-2020,2048,fixed_topL_zero,20,0.6242520728424649,0.5807015822873915,0.3205939710173786
msmarco-passage-trec-dl-2020,2048,fixed_topL_zero,100,0.6242520728424649,0.5807015822873915,0.6232803311566661
msmarco-passage-trec-dl-2020,4096,balanced_cert,20,0.6242520728424649,0.5807015822873915,0.306804695788174
msmarco-passage-trec-dl-2020,4096,balanced_cert,100,0.6242520728424649,0.5807015822873915,0.4498463156867804
msmarco-passage-trec-dl-2020,4096,balanced_zero,20,0.6242520728424649,0.5807015822873915,0.321751378424786
msmarco-passage-trec-dl-2020,4096,balanced_zero,100,0.6242520728424649,0.5807015822873915,0.6240833106991668
msmarco-passage-trec-dl-2020,4096,blocker_cert,20,0.6242520728424649,0.5807015822873915,0.306804695788174
msmarco-passage-trec-dl-2020,4096,blocker_cert,100,0.6242520728424649,0.5807015822873915,0.4615560599890143
msmarco-passage-trec-dl-2020,4096,blocker_zero,20,0.6242520728424649,0.5807015822873915,0.32159444182717145
msmarco-passage-trec-dl-2020,4096,blocker_zero,100,0.6242520728424649,0.5807015822873915,0.6246376242882891
msmarco-passage-trec-dl-2020,4096,fixed_topL_zero,20,0.6242520728424649,0.5807015822873915,0.321751378424786
msmarco-passage-trec-dl-2020,4096,fixed_topL_zero,100,0.6242520728424649,0.5807015822873915,0.6240833106991668
msmarco-passage-trec-dl-2020,8192,balanced_cert,20,0.6242520728424649,0.5807015822873915,0.3112736912195272
msmarco-passage-trec-dl-2020,8192,balanced_cert,100,0.6242520728424649,0.5807015822873915,0.4713840464902881
msmarco-passage-trec-dl-2020,8192,balanced_zero,20,0.6242520728424649,0.5807015822873915,0.3229087858321934
msmarco-passage-trec-dl-2020,8192,balanced_zero,100,0.6242520728424649,0.5807015822873915,0.6238923981371203
