dataset,query_id,policy,work_budget,dense_depth,sparse_depth,dense_work_share,absolute_depth_gap,certified_k_cap100,certified_at_least_100,next_certificate_gap,seen_candidates,returned_ndcg_at10,full_ndcg_at10,ndcg_retention,returned_recall_at100,full_recall_at100,recall_retention
msmarco-passage-trec-dl-2019,1117099,allocation-grid-oracle,4096,3776,320,0.921875,3456,38,0,-3.4545548260211945e-05,3935,1.0,1.0,1.0,0.25210084033613445,0.2857142857142857,0.8823529411764706
msmarco-passage-trec-dl-2019,1117099,allocation-grid-oracle,8192,5000,3192,0.6103515625,1808,39,0,-0.00016440916806459427,7112,1.0,1.0,1.0,0.25210084033613445,0.2857142857142857,0.8823529411764706
msmarco-passage-trec-dl-2019,1117099,allocation-grid-oracle,10000,5000,5000,0.5,0,39,0,-0.00016440916806459427,8545,1.0,1.0,1.0,0.25210084033613445,0.2857142857142857,0.8823529411764706
msmarco-passage-trec-dl-2019,148538,balanced,128,64,64,0.5,0,9,0,-0.00014570541679859161,107,0.45659106898530377,0.4709335881838884,0.9695444972317748,0.04950495049504951,0.43564356435643564,0.11363636363636365
msmarco-passage-trec-dl-2019,148538,balanced,256,128,128,0.5,0,22,0,-0.00041629374027252197,216,0.4709335881838884,0.4709335881838884,1.0,0.1485148514851485,0.43564356435643564,0.3409090909090909
msmarco-passage-trec-dl-2019,148538,balanced,512,256,256,0.5,0,35,0,-7.865205407142639e-05,435,0.4709335881838884,0.4709335881838884,1.0,0.2376237623762376,0.43564356435643564,0.5454545454545454
msmarco-passage-trec-dl-2019,148538,balanced,1024,512,512,0.5,0,39,0,-0.00011546537280082703,820,0.4709335881838884,0.4709335881838884,1.0,0.25742574257425743,0.43564356435643564,0.5909090909090909
msmarco-passage-trec-dl-2019,148538,balanced,2048,1024,1024,0.5,0,46,0,-3.569759428501129e-05,1539,0.4709335881838884,0.4709335881838884,1.0,0.31683168316831684,0.43564356435643564,0.7272727272727273
msmarco-passage-trec-dl-2019,148538,balanced,4096,2048,2048,0.5,0,82,0,-8.921884000301361e-05,3035,0.4709335881838884,0.4709335881838884,1.0,0.4158415841584158,0.43564356435643564,0.9545454545454545
msmarco-passage-trec-dl-2019,148538,balanced,8192,4096,4096,0.5,0,100,1,-inf,6370,0.4709335881838884,0.4709335881838884,1.0,0.43564356435643564,0.43564356435643564,1.0
msmarco-passage-trec-dl-2019,148538,balanced,10000,5000,5000,0.5,0,100,1,-inf,7847,0.4709335881838884,0.4709335881838884,1.0,0.43564356435643564,0.43564356435643564,1.0
msmarco-passage-trec-dl-2019,148538,blocker,128,64,64,0.5,0,9,0,-0.00014570541679859161,107,0.45659106898530377,0.4709335881838884,0.9695444972317748,0.04950495049504951,0.43564356435643564,0.11363636363636365
msmarco-passage-trec-dl-2019,148538,blocker,256,128,128,0.5,0,22,0,-0.00041629374027252197,216,0.4709335881838884,0.4709335881838884,1.0,0.1485148514851485,0.43564356435643564,0.3409090909090909
msmarco-passage-trec-dl-2019,148538,blocker,512,256,256,0.5,0,35,0,-7.865205407142639e-05,435,0.4709335881838884,0.4709335881838884,1.0,0.2376237623762376,0.43564356435643564,0.5454545454545454
msmarco-passage-trec-dl-2019,148538,blocker,1024,384,640,0.375,256,43,0,-1.868419349193573e-05,828,0.4709335881838884,0.4709335881838884,1.0,0.297029702970297,0.43564356435643564,0.6818181818181818
msmarco-passage-trec-dl-2019,148538,blocker,2048,1280,768,0.625,512,56,0,-0.00019280612468719482,1573,0.4709335881838884,0.4709335881838884,1.0,0.33663366336633666,0.43564356435643564,0.7727272727272728
msmarco-passage-trec-dl-2019,148538,blocker,4096,2368,1728,0.578125,640,82,0,-2.6697292923927307e-05,3022,0.4709335881838884,0.4709335881838884,1.0,0.4158415841584158,0.43564356435643564,0.9545454545454545
msmarco-passage-trec-dl-2019,148538,blocker,8192,4096,4096,0.5,0,100,1,-inf,6370,0.4709335881838884,0.4709335881838884,1.0,0.43564356435643564,0.43564356435643564,1.0
msmarco-passage-trec-dl-2019,148538,blocker,10000,5000,5000,0.5,0,100,1,-inf,7847,0.4709335881838884,0.4709335881838884,1.0,0.43564356435643564,0.43564356435643564,1.0
msmarco-passage-trec-dl-2019,148538,pressure,128,64,64,0.5,0,9,0,-0.00014570541679859161,107,0.45659106898530377,0.4709335881838884,0.9695444972317748,0.04950495049504951,0.43564356435643564,0.11363636363636365
msmarco-passage-trec-dl-2019,148538,pressure,256,128,128,0.5,0,22,0,-0.00041629374027252197,216,0.4709335881838884,0.4709335881838884,1.0,0.1485148514851485,0.43564356435643564,0.3409090909090909
msmarco-passage-trec-dl-2019,148538,pressure,512,256,256,0.5,0,35,0,-7.865205407142639e-05,435,0.4709335881838884,0.4709335881838884,1.0,0.2376237623762376,0.43564356435643564,0.5454545454545454
msmarco-passage-trec-dl-2019,148538,pressure,1024,384,640,0.375,256,43,0,-1.868419349193573e-05,828,0.4709335881838884,0.4709335881838884,1.0,0.297029702970297,0.43564356435643564,0.6818181818181818
msmarco-passage-trec-dl-2019,148538,pressure,2048,1280,768,0.625,512,56,0,-0.00019280612468719482,1573,0.4709335881838884,0.4709335881838884,1.0,0.33663366336633666,0.43564356435643564,0.7727272727272728
msmarco-passage-trec-dl-2019,148538,pressure,4096,2368,1728,0.578125,640,82,0,-2.6697292923927307e-05,3022,0.4709335881838884,0.4709335881838884,1.0,0.4158415841584158,0.43564356435643564,0.9545454545454545
msmarco-passage-trec-dl-2019,148538,pressure,8192,4096,4096,0.5,0,100,1,-inf,6370,0.4709335881838884,0.4709335881838884,1.0,0.43564356435643564,0.43564356435643564,1.0
msmarco-passage-trec-dl-2019,148538,pressure,10000,5000,5000,0.5,0,100,1,-inf,7847,0.4709335881838884,0.4709335881838884,1.0,0.43564356435643564,0.43564356435643564,1.0
msmarco-passage-trec-dl-2019,148538,allocation-grid-oracle,128,64,64,0.5,0,9,0,-0.00014570541679859161,107,0.45659106898530377,0.4709335881838884,0.9695444972317748,0.04950495049504951,0.43564356435643564,0.11363636363636365
msmarco-passage-trec-dl-2019,148538,allocation-grid-oracle,256,128,128,0.5,0,22,0,-0.00041629374027252197,216,0.4709335881838884,0.4709335881838884,1.0,0.1485148514851485,0.43564356435643564,0.3409090909090909
msmarco-passage-trec-dl-2019,148538,allocation-grid-oracle,512,256,256,0.5,0,35,0,-7.865205407142639e-05,435,0.4709335881838884,0.4709335881838884,1.0,0.2376237623762376,0.43564356435643564,0.5454545454545454
msmarco-passage-trec-dl-2019,148538,allocation-grid-oracle,1024,384,640,0.375,256,43,0,-1.868419349193573e-05,828,0.4709335881838884,0.4709335881838884,1.0,0.297029702970297,0.43564356435643564,0.6818181818181818
msmarco-passage-trec-dl-2019,148538,allocation-grid-oracle,2048,1280,768,0.625,512,56,0,-0.00019280612468719482,1573,0.4709335881838884,0.4709335881838884,1.0,0.33663366336633666,0.43564356435643564,0.7727272727272728
msmarco-passage-trec-dl-2019,148538,allocation-grid-oracle,4096,2368,1728,0.578125,640,82,0,-2.6697292923927307e-05,3022,0.4709335881838884,0.4709335881838884,1.0,0.4158415841584158,0.43564356435643564,0.9545454545454545
msmarco-passage-trec-dl-2019,148538,allocation-grid-oracle,8192,4096,4096,0.5,0,100,1,-inf,6370,0.4709335881838884,0.4709335881838884,1.0,0.43564356435643564,0.43564356435643564,1.0
msmarco-passage-trec-dl-2019,148538,allocation-grid-oracle,10000,5000,5000,0.5,0,100,1,-inf,7847,0.4709335881838884,0.4709335881838884,1.0,0.43564356435643564,0.43564356435643564,1.0
msmarco-passage-trec-dl-2019,451602,balanced,128,64,64,0.5,0,8,0,-2.4763867259025574e-05,109,0.24740869354623782,0.28489204476939767,0.8684296318154469,0.025974025974025976,0.23376623376623376,0.11111111111111112
msmarco-passage-trec-dl-2019,451602,balanced,256,128,128,0.5,0,16,0,-0.00023741461336612701,215,0.28489204476939767,0.28489204476939767,1.0,0.07142857142857142,0.23376623376623376,0.3055555555555555
msmarco-passage-trec-dl-2019,451602,balanced,512,256,256,0.5,0,25,0,-9.859539568424225e-05,403,0.28489204476939767,0.28489204476939767,1.0,0.09090909090909091,0.23376623376623376,0.3888888888888889
msmarco-passage-trec-dl-2019,451602,balanced,1024,512,512,0.5,0,30,0,-8.848309516906738e-05,828,0.28489204476939767,0.28489204476939767,1.0,0.1038961038961039,0.23376623376623376,0.4444444444444445
msmarco-passage-trec-dl-2019,451602,balanced,2048,1024,1024,0.5,0,36,0,-0.00032796710729599,1736,0.28489204476939767,0.28489204476939767,1.0,0.12987012987012986,0.23376623376623376,0.5555555555555555
msmarco-passage-trec-dl-2019,451602,balanced,4096,2048,2048,0.5,0,72,0,-4.555564373731613e-05,3582,0.28489204476939767,0.28489204476939767,1.0,0.2077922077922078,0.23376623376623376,0.888888888888889
msmarco-passage-trec-dl-2019,451602,balanced,8192,4096,4096,0.5,0,75,0,-7.833074778318405e-05,7395,0.28489204476939767,0.28489204476939767,1.0,0.2077922077922078,0.23376623376623376,0.888888888888889
