dataset,snapshot,query_id,L,accesses,ndcg10,full_ndcg10,ordered20,overlap20
nfcorpus,0,PLAIN-1193,10,20,0.0,0.06625422345438903,0,0.7
nfcorpus,0,PLAIN-1193,20,40,0.0,0.06625422345438903,0,0.75
nfcorpus,0,PLAIN-1193,50,100,0.06625422345438903,0.06625422345438903,0,0.7
nfcorpus,0,PLAIN-1193,100,200,0.06625422345438903,0.06625422345438903,1,1.0
nfcorpus,0,PLAIN-1193,200,358,0.06625422345438903,0.06625422345438903,1,1.0
nfcorpus,0,PLAIN-1193,500,658,0.06625422345438903,0.06625422345438903,1,1.0
nfcorpus,0,PLAIN-1193,1000,1158,0.06625422345438903,0.06625422345438903,1,1.0
nfcorpus,0,PLAIN-1193,2000,2158,0.06625422345438903,0.06625422345438903,1,1.0
nfcorpus,0,PLAIN-1193,5000,3791,0.06625422345438903,0.06625422345438903,1,1.0
nfcorpus,0,PLAIN-12,10,20,0.07711607962658214,0.10527982729515889,0,0.5
nfcorpus,0,PLAIN-12,20,40,0.07711607962658214,0.10527982729515889,0,0.55
nfcorpus,0,PLAIN-12,50,100,0.0,0.10527982729515889,0,0.7
nfcorpus,0,PLAIN-12,100,200,0.10527982729515889,0.10527982729515889,0,0.75
nfcorpus,0,PLAIN-12,200,400,0.10527982729515889,0.10527982729515889,0,0.85
nfcorpus,0,PLAIN-12,500,738,0.10527982729515889,0.10527982729515889,0,1.0
nfcorpus,0,PLAIN-12,1000,1238,0.10527982729515889,0.10527982729515889,0,1.0
nfcorpus,0,PLAIN-12,2000,2238,0.10527982729515889,0.10527982729515889,1,1.0
nfcorpus,0,PLAIN-12,5000,3871,0.10527982729515889,0.10527982729515889,1,1.0
nfcorpus,0,PLAIN-1203,10,20,0.43735247915031,0.3589542101716347,0,0.35
nfcorpus,0,PLAIN-1203,20,40,0.42838543210841196,0.3589542101716347,0,0.4
nfcorpus,0,PLAIN-1203,50,100,0.3589542101716347,0.3589542101716347,0,0.55
nfcorpus,0,PLAIN-1203,100,200,0.3589542101716347,0.3589542101716347,0,0.9
nfcorpus,0,PLAIN-1203,200,400,0.3589542101716347,0.3589542101716347,1,1.0
nfcorpus,0,PLAIN-1203,500,1000,0.3589542101716347,0.3589542101716347,1,1.0
