dataset,snapshot,query_id,policy,batch,budget,accesses,dense,sparse,known,stop,k,k_lower,k_upper,k20,ndcg20,full_ndcg20,cost20,baseline20_complete,budget20_cost,elapsed_seconds,baseline_cost_lower,capped_cost_upper,ndcg20_upper
nfcorpus,0,PLAIN-102,dibud,1,1024,1024,513,511,1,budget,32,32,32,20,0.085292284498625,0.085292284498625,456,1,456,0.0457499027252197,456.0,456.0,0.085292284498625
nfcorpus,0,PLAIN-102,dibud,1,2048,2048,879,1169,1,budget,38,38,38,20,0.085292284498625,0.085292284498625,456,1,456,0.0457499027252197,456.0,456.0,0.085292284498625
nfcorpus,0,PLAIN-102,dibud,1,4096,4096,2834,1262,1,budget,89,89,89,20,0.085292284498625,0.085292284498625,456,1,456,0.0457499027252197,456.0,456.0,0.085292284498625
nfcorpus,0,PLAIN-102,dibud,1,8192,4539,3277,1262,1,cap100,100,100,100,20,0.085292284498625,0.085292284498625,456,1,456,0.0457508563995361,456.0,456.0,0.085292284498625
nfcorpus,0,PLAIN-102,dibud,1,10000,4539,3277,1262,1,cap100,100,100,100,20,0.085292284498625,0.085292284498625,456,1,456,0.0457508563995361,456.0,456.0,0.085292284498625
nfcorpus,0,PLAIN-1028,dibud,1,128,128,60,68,1,budget,10,10,10,10,0.0,0.0,554,1,128,0.0368618965148925,554.0,128.0,0.0
nfcorpus,0,PLAIN-1028,dibud,1,256,256,119,137,1,budget,13,13,13,13,0.0,0.0,554,1,256,0.0368618965148925,554.0,256.0,0.0
nfcorpus,0,PLAIN-1028,dibud,1,512,512,272,240,1,budget,18,18,18,18,0.0,0.0,554,1,512,0.0368628501892089,554.0,512.0,0.0
nfcorpus,0,PLAIN-1028,dibud,1,1024,1024,411,613,1,budget,29,29,29,20,0.0,0.0,554,1,554,0.0368628501892089,554.0,554.0,0.0
nfcorpus,0,PLAIN-1028,dibud,1,2048,2048,855,1193,1,budget,34,34,34,20,0.0,0.0,554,1,554,0.0368628501892089,554.0,554.0,0.0
nfcorpus,0,PLAIN-1028,dibud,1,4096,3516,2323,1193,1,cap100,100,100,100,20,0.0,0.0,554,1,554,0.0368628501892089,554.0,554.0,0.0
nfcorpus,0,PLAIN-1028,dibud,1,8192,3516,2323,1193,1,cap100,100,100,100,20,0.0,0.0,554,1,554,0.0368628501892089,554.0,554.0,0.0
nfcorpus,0,PLAIN-1028,dibud,1,10000,3516,2323,1193,1,cap100,100,100,100,20,0.0,0.0,554,1,554,0.0368628501892089,554.0,554.0,0.0
nfcorpus,0,PLAIN-1039,dibud,1,128,128,64,64,1,budget,9,9,9,9,1.0,1.0,482,1,128,0.0318920612335205,482.0,128.0,1.0
nfcorpus,0,PLAIN-1039,dibud,1,256,256,124,132,1,budget,15,15,15,15,1.0,1.0,482,1,256,0.0318930149078369,482.0,256.0,1.0
nfcorpus,0,PLAIN-1039,dibud,1,512,512,261,251,1,budget,22,22,22,20,1.0,1.0,482,1,482,0.0318930149078369,482.0,482.0,1.0
nfcorpus,0,PLAIN-1039,dibud,1,1024,1024,512,512,1,budget,42,42,42,20,1.0,1.0,482,1,482,0.0318930149078369,482.0,482.0,1.0
nfcorpus,0,PLAIN-1039,dibud,1,2048,2048,1496,552,1,budget,85,85,85,20,1.0,1.0,482,1,482,0.0318939685821533,482.0,482.0,1.0
nfcorpus,0,PLAIN-1039,dibud,1,4096,2552,2000,552,1,cap100,100,100,100,20,1.0,1.0,482,1,482,0.0318939685821533,482.0,482.0,1.0
nfcorpus,0,PLAIN-1039,dibud,1,8192,2552,2000,552,1,cap100,100,100,100,20,1.0,1.0,482,1,482,0.0318939685821533,482.0,482.0,1.0
nfcorpus,0,PLAIN-1039,dibud,1,10000,2552,2000,552,1,cap100,100,100,100,20,1.0,1.0,482,1,482,0.0318939685821533,482.0,482.0,1.0
nfcorpus,0,PLAIN-1050,dibud,1,128,128,112,16,1,budget,0,0,0,0,0.0,0.0611733153780318,1832,1,128,0.0340402126312255,1832.0,128.0,0.0
nfcorpus,0,PLAIN-1050,dibud,1,256,256,240,16,1,budget,0,0,0,0,0.0,0.0611733153780318,1832,1,256,0.0340411663055419,1832.0,256.0,0.0
nfcorpus,0,PLAIN-1050,dibud,1,512,512,496,16,1,budget,2,2,2,2,0.0,0.0611733153780318,1832,1,512,0.0340411663055419,1832.0,512.0,0.0
nfcorpus,0,PLAIN-1050,dibud,1,1024,1024,1008,16,1,budget,4,4,4,4,0.0611733153780318,0.0611733153780318,1832,1,1024,0.0340411663055419,1832.0,1024.0,0.0611733153780318
nfcorpus,0,PLAIN-1050,dibud,1,2048,2048,2032,16,1,budget,22,22,22,20,0.0611733153780318,0.0611733153780318,1832,1,1832,0.0340411663055419,1832.0,1832.0,0.0611733153780318
nfcorpus,0,PLAIN-1050,dibud,1,4096,3573,3557,16,1,cap100,100,100,100,20,0.0611733153780318,0.0611733153780318,1832,1,1832,0.0340421199798584,1832.0,1832.0,0.0611733153780318
nfcorpus,0,PLAIN-1050,dibud,1,8192,3573,3557,16,1,cap100,100,100,100,20,0.0611733153780318,0.0611733153780318,1832,1,1832,0.0340421199798584,1832.0,1832.0,0.0611733153780318
nfcorpus,0,PLAIN-1050,dibud,1,10000,3573,3557,16,1,cap100,100,100,100,20,0.0611733153780318,0.0611733153780318,1832,1,1832,0.0340421199798584,1832.0,1832.0,0.0611733153780318
nfcorpus,0,PLAIN-1066,dibud,1,128,128,110,18,1,budget,2,2,2,2,0.0,0.0,2902,1,128,0.0353529453277587,2902.0,128.0,0.0
nfcorpus,0,PLAIN-1066,dibud,1,256,256,238,18,1,budget,2,2,2,2,0.0,0.0,2902,1,256,0.0353529453277587,2902.0,256.0,0.0
nfcorpus,0,PLAIN-1066,dibud,1,512,512,494,18,1,budget,2,2,2,2,0.0,0.0,2902,1,512,0.0353538990020751,2902.0,512.0,0.0
nfcorpus,0,PLAIN-1066,dibud,1,1024,1024,1006,18,1,budget,4,4,4,4,0.0,0.0,2902,1,1024,0.0353538990020751,2902.0,1024.0,0.0
nfcorpus,0,PLAIN-1066,dibud,1,2048,2048,2030,18,1,budget,7,7,7,7,0.0,0.0,2902,1,2048,0.0353538990020751,2902.0,2048.0,0.0
nfcorpus,0,PLAIN-1066,dibud,1,4096,3590,3572,18,1,cap100,100,100,100,20,0.0,0.0,2902,1,2902,0.0353538990020751,2902.0,2902.0,0.0
nfcorpus,0,PLAIN-1066,dibud,1,8192,3590,3572,18,1,cap100,100,100,100,20,0.0,0.0,2902,1,2902,0.0353548526763916,2902.0,2902.0,0.0
nfcorpus,0,PLAIN-1066,dibud,1,10000,3590,3572,18,1,cap100,100,100,100,20,0.0,0.0,2902,1,2902,0.0353548526763916,2902.0,2902.0,0.0
nfcorpus,0,PLAIN-1088,dibud,1,128,102,100,2,1,cap100,100,100,100,20,0.5531464700081437,0.5531464700081437,22,1,22,0.0121982097625732,22.0,22.0,0.5531464700081437
nfcorpus,0,PLAIN-1088,dibud,1,256,102,100,2,1,cap100,100,100,100,20,0.5531464700081437,0.5531464700081437,22,1,22,0.0121982097625732,22.0,22.0,0.5531464700081437
nfcorpus,0,PLAIN-1088,dibud,1,512,102,100,2,1,cap100,100,100,100,20,0.5531464700081437,0.5531464700081437,22,1,22,0.0121982097625732,22.0,22.0,0.5531464700081437
nfcorpus,0,PLAIN-1088,dibud,1,1024,102,100,2,1,cap100,100,100,100,20,0.5531464700081437,0.5531464700081437,22,1,22,0.0121991634368896,22.0,22.0,0.5531464700081437
nfcorpus,0,PLAIN-1088,dibud,1,2048,102,100,2,1,cap100,100,100,100,20,0.5531464700081437,0.5531464700081437,22,1,22,0.0121991634368896,22.0,22.0,0.5531464700081437
nfcorpus,0,PLAIN-1088,dibud,1,4096,102,100,2,1,cap100,100,100,100,20,0.5531464700081437,0.5531464700081437,22,1,22,0.0121991634368896,22.0,22.0,0.5531464700081437
nfcorpus,0,PLAIN-1088,dibud,1,8192,102,100,2,1,cap100,100,100,100,20,0.5531464700081437,0.5531464700081437,22,1,22,0.0121991634368896,22.0,22.0,0.5531464700081437
nfcorpus,0,PLAIN-1088,dibud,1,10000,102,100,2,1,cap100,100,100,100,20,0.5531464700081437,0.5531464700081437,22,1,22,0.0121991634368896,22.0,22.0,0.5531464700081437
nfcorpus,0,PLAIN-1098,dibud,1,128,100,100,0,1,cap100,100,100,100,20,0.0784742822711064,0.0784742822711064,20,1,20,0.0120167732238769,20.0,20.0,0.0784742822711064
nfcorpus,0,PLAIN-1098,dibud,1,256,100,100,0,1,cap100,100,100,100,20,0.0784742822711064,0.0784742822711064,20,1,20,0.0120167732238769,20.0,20.0,0.0784742822711064
nfcorpus,0,PLAIN-1098,dibud,1,512,100,100,0,1,cap100,100,100,100,20,0.0784742822711064,0.0784742822711064,20,1,20,0.0120167732238769,20.0,20.0,0.0784742822711064
nfcorpus,0,PLAIN-1098,dibud,1,1024,100,100,0,1,cap100,100,100,100,20,0.0784742822711064,0.0784742822711064,20,1,20,0.0120179653167724,20.0,20.0,0.0784742822711064
nfcorpus,0,PLAIN-1098,dibud,1,2048,100,100,0,1,cap100,100,100,100,20,0.0784742822711064,0.0784742822711064,20,1,20,0.0120179653167724,20.0,20.0,0.0784742822711064
nfcorpus,0,PLAIN-1098,dibud,1,4096,100,100,0,1,cap100,100,100,100,20,0.0784742822711064,0.0784742822711064,20,1,20,0.0120179653167724,20.0,20.0,0.0784742822711064
nfcorpus,0,PLAIN-1098,dibud,1,8192,100,100,0,1,cap100,100,100,100,20,0.0784742822711064,0.0784742822711064,20,1,20,0.0120179653167724,20.0,20.0,0.0784742822711064
nfcorpus,0,PLAIN-1098,dibud,1,10000,100,100,0,1,cap100,100,100,100,20,0.0784742822711064,0.0784742822711064,20,1,20,0.0120179653167724,20.0,20.0,0.0784742822711064
nfcorpus,0,PLAIN-1109,dibud,1,128,128,86,42,1,budget,21,21,21,20,0.59239240093535,0.59239240093535,103,1,103,0.028883934020996,103.0,103.0,0.59239240093535
nfcorpus,0,PLAIN-1109,dibud,1,256,256,214,42,1,budget,27,27,27,20,0.59239240093535,0.59239240093535,103,1,103,0.028883934020996,103.0,103.0,0.59239240093535
nfcorpus,0,PLAIN-1109,dibud,1,512,512,470,42,1,budget,38,38,38,20,0.59239240093535,0.59239240093535,103,1,103,0.0288848876953125,103.0,103.0,0.59239240093535
nfcorpus,0,PLAIN-1109,dibud,1,1024,1024,982,42,1,budget,43,43,43,20,0.59239240093535,0.59239240093535,103,1,103,0.0288848876953125,103.0,103.0,0.59239240093535
nfcorpus,0,PLAIN-1109,dibud,1,2048,2048,2006,42,1,budget,48,48,48,20,0.59239240093535,0.59239240093535,103,1,103,0.0288848876953125,103.0,103.0,0.59239240093535
nfcorpus,0,PLAIN-1109,dibud,1,4096,2770,2728,42,1,cap100,100,100,100,20,0.59239240093535,0.59239240093535,103,1,103,0.0288848876953125,103.0,103.0,0.59239240093535
nfcorpus,0,PLAIN-1109,dibud,1,8192,2770,2728,42,1,cap100,100,100,100,20,0.59239240093535,0.59239240093535,103,1,103,0.0288848876953125,103.0,103.0,0.59239240093535
nfcorpus,0,PLAIN-1109,dibud,1,10000,2770,2728,42,1,cap100,100,100,100,20,0.59239240093535,0.59239240093535,103,1,103,0.0288848876953125,103.0,103.0,0.59239240093535
nfcorpus,0,PLAIN-1119,dibud,1,128,128,64,64,1,budget,7,7,7,7,0.0,0.0,440,1,128,0.0268731117248535,440.0,128.0,0.0
nfcorpus,0,PLAIN-1119,dibud,1,256,256,124,132,1,budget,13,13,13,13,0.0,0.0,440,1,256,0.0268738269805908,440.0,256.0,0.0
nfcorpus,0,PLAIN-1119,dibud,1,512,512,243,269,1,budget,22,22,22,20,0.0,0.0,440,1,440,0.0268738269805908,440.0,440.0,0.0
nfcorpus,0,PLAIN-1119,dibud,1,1024,1024,647,377,1,budget,49,49,49,20,0.0,0.0,440,1,440,0.0268747806549072,440.0,440.0,0.0
nfcorpus,0,PLAIN-1119,dibud,1,2048,2048,1671,377,1,budget,59,59,59,20,0.0,0.0,440,1,440,0.0268747806549072,440.0,440.0,0.0
nfcorpus,0,PLAIN-1119,dibud,1,4096,2150,1773,377,1,cap100,100,100,100,20,0.0,0.0,440,1,440,0.0268747806549072,440.0,440.0,0.0
nfcorpus,0,PLAIN-1119,dibud,1,8192,2150,1773,377,1,cap100,100,100,100,20,0.0,0.0,440,1,440,0.0268747806549072,440.0,440.0,0.0
nfcorpus,0,PLAIN-1119,dibud,1,10000,2150,1773,377,1,cap100,100,100,100,20,0.0,0.0,440,1,440,0.0268747806549072,440.0,440.0,0.0
nfcorpus,0,PLAIN-112,dibud,1,128,128,62,66,1,budget,10,10,10,10,0.3710618620334039,0.3955788361535018,1004,1,128,0.0454950332641601,1004.0,128.0,0.3710618620334039
nfcorpus,0,PLAIN-112,dibud,1,256,256,124,132,1,budget,11,11,11,11,0.3710618620334039,0.3955788361535018,1004,1,256,0.0454962253570556,1004.0,256.0,0.3710618620334039
nfcorpus,0,PLAIN-112,dibud,1,512,512,221,291,1,budget,13,13,13,13,0.3710618620334039,0.3955788361535018,1004,1,512,0.045497179031372,1004.0,512.0,0.3710618620334039
nfcorpus,0,PLAIN-112,dibud,1,1024,1024,373,651,1,budget,21,21,21,20,0.3955788361535018,0.3955788361535018,1004,1,1004,0.045497179031372,1004.0,1004.0,0.3955788361535018
nfcorpus,0,PLAIN-112,dibud,1,2048,2048,1032,1016,1,budget,36,36,36,20,0.3955788361535018,0.3955788361535018,1004,1,1004,0.045497179031372,1004.0,1004.0,0.3955788361535018
nfcorpus,0,PLAIN-112,dibud,1,4096,3918,2902,1016,1,cap100,100,100,100,20,0.3955788361535018,0.3955788361535018,1004,1,1004,0.045497179031372,1004.0,1004.0,0.3955788361535018
nfcorpus,0,PLAIN-112,dibud,1,8192,3918,2902,1016,1,cap100,100,100,100,20,0.3955788361535018,0.3955788361535018,1004,1,1004,0.0454981327056884,1004.0,1004.0,0.3955788361535018
nfcorpus,0,PLAIN-112,dibud,1,10000,3918,2902,1016,1,cap100,100,100,100,20,0.3955788361535018,0.3955788361535018,1004,1,1004,0.0454981327056884,1004.0,1004.0,0.3955788361535018
nfcorpus,0,PLAIN-1130,dibud,1,128,101,100,1,1,cap100,100,100,100,20,1.0,1.0,21,1,21,0.0118792057037353,21.0,21.0,1.0
nfcorpus,0,PLAIN-1130,dibud,1,256,101,100,1,1,cap100,100,100,100,20,1.0,1.0,21,1,21,0.0118803977966308,21.0,21.0,1.0
nfcorpus,0,PLAIN-1130,dibud,1,512,101,100,1,1,cap100,100,100,100,20,1.0,1.0,21,1,21,0.0118803977966308,21.0,21.0,1.0
nfcorpus,0,PLAIN-1130,dibud,1,1024,101,100,1,1,cap100,100,100,100,20,1.0,1.0,21,1,21,0.0118813514709472,21.0,21.0,1.0
nfcorpus,0,PLAIN-1130,dibud,1,2048,101,100,1,1,cap100,100,100,100,20,1.0,1.0,21,1,21,0.0118813514709472,21.0,21.0,1.0
nfcorpus,0,PLAIN-1130,dibud,1,4096,101,100,1,1,cap100,100,100,100,20,1.0,1.0,21,1,21,0.0118813514709472,21.0,21.0,1.0
nfcorpus,0,PLAIN-1130,dibud,1,8192,101,100,1,1,cap100,100,100,100,20,1.0,1.0,21,1,21,0.0118813514709472,21.0,21.0,1.0
nfcorpus,0,PLAIN-1130,dibud,1,10000,101,100,1,1,cap100,100,100,100,20,1.0,1.0,21,1,21,0.0118813514709472,21.0,21.0,1.0
nfcorpus,0,PLAIN-1141,dibud,1,128,128,66,62,1,budget,10,10,10,10,0.1637733768567814,0.1637733768567814,555,1,128,0.0432550907135009,555.0,128.0,0.1637733768567814
nfcorpus,0,PLAIN-1141,dibud,1,256,256,132,124,1,budget,15,15,15,15,0.1637733768567814,0.1637733768567814,555,1,256,0.0432560443878173,555.0,256.0,0.1637733768567814
nfcorpus,0,PLAIN-1141,dibud,1,512,512,269,243,1,budget,19,19,19,19,0.1637733768567814,0.1637733768567814,555,1,512,0.0432560443878173,555.0,512.0,0.1637733768567814
nfcorpus,0,PLAIN-1141,dibud,1,1024,1024,629,395,1,budget,25,25,25,20,0.1637733768567814,0.1637733768567814,555,1,555,0.0432569980621337,555.0,555.0,0.1637733768567814
nfcorpus,0,PLAIN-1141,dibud,1,2048,2048,1407,641,1,budget,26,26,26,20,0.1637733768567814,0.1637733768567814,555,1,555,0.0432569980621337,555.0,555.0,0.1637733768567814
nfcorpus,0,PLAIN-1141,dibud,1,4096,4096,2828,1268,1,budget,76,76,76,20,0.1637733768567814,0.1637733768567814,555,1,555,0.0432569980621337,555.0,555.0,0.1637733768567814
nfcorpus,0,PLAIN-1141,dibud,1,8192,4321,3053,1268,1,cap100,100,100,100,20,0.1637733768567814,0.1637733768567814,555,1,555,0.0432569980621337,555.0,555.0,0.1637733768567814
nfcorpus,0,PLAIN-1141,dibud,1,10000,4321,3053,1268,1,cap100,100,100,100,20,0.1637733768567814,0.1637733768567814,555,1,555,0.0432569980621337,555.0,555.0,0.1637733768567814
nfcorpus,0,PLAIN-1151,dibud,1,128,128,64,64,1,budget,7,7,7,7,0.2585796698726749,0.5665711755305013,421,1,128,0.0319671630859375,421.0,128.0,0.2585796698726749
nfcorpus,0,PLAIN-1151,dibud,1,256,256,133,123,1,budget,14,14,14,14,0.4641332227985275,0.5665711755305013,421,1,256,0.0319671630859375,421.0,256.0,0.4641332227985275
nfcorpus,0,PLAIN-1151,dibud,1,512,512,260,252,1,budget,26,26,26,20,0.5665711755305013,0.5665711755305013,421,1,421,0.0319681167602539,421.0,421.0,0.5665711755305013
nfcorpus,0,PLAIN-1151,dibud,1,1024,1024,772,252,1,budget,40,40,40,20,0.5665711755305013,0.5665711755305013,421,1,421,0.0319681167602539,421.0,421.0,0.5665711755305013
nfcorpus,0,PLAIN-1151,dibud,1,2048,2048,1796,252,1,budget,57,57,57,20,0.5665711755305013,0.5665711755305013,421,1,421,0.0319681167602539,421.0,421.0,0.5665711755305013
nfcorpus,0,PLAIN-1151,dibud,1,4096,2868,2616,252,1,cap100,100,100,100,20,0.5665711755305013,0.5665711755305013,421,1,421,0.0319681167602539,421.0,421.0,0.5665711755305013
nfcorpus,0,PLAIN-1151,dibud,1,8192,2868,2616,252,1,cap100,100,100,100,20,0.5665711755305013,0.5665711755305013,421,1,421,0.0319681167602539,421.0,421.0,0.5665711755305013
nfcorpus,0,PLAIN-1151,dibud,1,10000,2868,2616,252,1,cap100,100,100,100,20,0.5665711755305013,0.5665711755305013,421,1,421,0.0319690704345703,421.0,421.0,0.5665711755305013
nfcorpus,0,PLAIN-1161,dibud,1,128,128,75,53,1,budget,18,18,18,18,0.0,0.0,133,1,128,0.0288989543914794,133.0,128.0,0.0
nfcorpus,0,PLAIN-1161,dibud,1,256,256,203,53,1,budget,26,26,26,20,0.0,0.0,133,1,133,0.0288996696472167,133.0,133.0,0.0
nfcorpus,0,PLAIN-1161,dibud,1,512,512,459,53,1,budget,37,37,37,20,0.0,0.0,133,1,133,0.0288996696472167,133.0,133.0,0.0
nfcorpus,0,PLAIN-1161,dibud,1,1024,1024,971,53,1,budget,42,42,42,20,0.0,0.0,133,1,133,0.0289008617401123,133.0,133.0,0.0
nfcorpus,0,PLAIN-1161,dibud,1,2048,2048,1995,53,1,budget,47,47,47,20,0.0,0.0,133,1,133,0.0289008617401123,133.0,133.0,0.0
nfcorpus,0,PLAIN-1161,dibud,1,4096,2450,2397,53,1,cap100,100,100,100,20,0.0,0.0,133,1,133,0.0289008617401123,133.0,133.0,0.0
nfcorpus,0,PLAIN-1161,dibud,1,8192,2450,2397,53,1,cap100,100,100,100,20,0.0,0.0,133,1,133,0.0289008617401123,133.0,133.0,0.0
nfcorpus,0,PLAIN-1161,dibud,1,10000,2450,2397,53,1,cap100,100,100,100,20,0.0,0.0,133,1,133,0.0289008617401123,133.0,133.0,0.0
nfcorpus,0,PLAIN-1172,dibud,1,128,101,100,1,1,cap100,100,100,100,20,0.1467868763787456,0.1467868763787456,21,1,21,0.0118739604949951,21.0,21.0,0.1467868763787456
nfcorpus,0,PLAIN-1172,dibud,1,256,101,100,1,1,cap100,100,100,100,20,0.1467868763787456,0.1467868763787456,21,1,21,0.0118739604949951,21.0,21.0,0.1467868763787456
nfcorpus,0,PLAIN-1172,dibud,1,512,101,100,1,1,cap100,100,100,100,20,0.1467868763787456,0.1467868763787456,21,1,21,0.0118749141693115,21.0,21.0,0.1467868763787456
nfcorpus,0,PLAIN-1172,dibud,1,1024,101,100,1,1,cap100,100,100,100,20,0.1467868763787456,0.1467868763787456,21,1,21,0.0118749141693115,21.0,21.0,0.1467868763787456
nfcorpus,0,PLAIN-1172,dibud,1,2048,101,100,1,1,cap100,100,100,100,20,0.1467868763787456,0.1467868763787456,21,1,21,0.0118749141693115,21.0,21.0,0.1467868763787456
nfcorpus,0,PLAIN-1172,dibud,1,4096,101,100,1,1,cap100,100,100,100,20,0.1467868763787456,0.1467868763787456,21,1,21,0.0118749141693115,21.0,21.0,0.1467868763787456
nfcorpus,0,PLAIN-1172,dibud,1,8192,101,100,1,1,cap100,100,100,100,20,0.1467868763787456,0.1467868763787456,21,1,21,0.011876106262207,21.0,21.0,0.1467868763787456
nfcorpus,0,PLAIN-1172,dibud,1,10000,101,100,1,1,cap100,100,100,100,20,0.1467868763787456,0.1467868763787456,21,1,21,0.011876106262207,21.0,21.0,0.1467868763787456
nfcorpus,0,PLAIN-1183,dibud,1,128,128,114,14,1,budget,12,12,12,12,0.1321933351948605,0.1321933351948605,1787,1,128,0.025886058807373,1787.0,128.0,0.1321933351948605
nfcorpus,0,PLAIN-1183,dibud,1,256,256,242,14,1,budget,12,12,12,12,0.1321933351948605,0.1321933351948605,1787,1,256,0.025886058807373,1787.0,256.0,0.1321933351948605
nfcorpus,0,PLAIN-1183,dibud,1,512,512,498,14,1,budget,15,15,15,15,0.1321933351948605,0.1321933351948605,1787,1,512,0.025886058807373,1787.0,512.0,0.1321933351948605
nfcorpus,0,PLAIN-1183,dibud,1,1024,1024,1010,14,1,budget,17,17,17,17,0.1321933351948605,0.1321933351948605,1787,1,1024,0.0258872509002685,1787.0,1024.0,0.1321933351948605
nfcorpus,0,PLAIN-1183,dibud,1,2048,1787,1773,14,1,cap100,100,100,100,20,0.1321933351948605,0.1321933351948605,1787,1,1787,0.0258872509002685,1787.0,1787.0,0.1321933351948605
nfcorpus,0,PLAIN-1183,dibud,1,4096,1787,1773,14,1,cap100,100,100,100,20,0.1321933351948605,0.1321933351948605,1787,1,1787,0.0258872509002685,1787.0,1787.0,0.1321933351948605
nfcorpus,0,PLAIN-1183,dibud,1,8192,1787,1773,14,1,cap100,100,100,100,20,0.1321933351948605,0.1321933351948605,1787,1,1787,0.0258872509002685,1787.0,1787.0,0.1321933351948605
nfcorpus,0,PLAIN-1183,dibud,1,10000,1787,1773,14,1,cap100,100,100,100,20,0.1321933351948605,0.1321933351948605,1787,1,1787,0.0258872509002685,1787.0,1787.0,0.1321933351948605
nfcorpus,0,PLAIN-1193,dibud,1,128,128,64,64,1,budget,10,10,10,10,0.0457407592088072,0.082914800661557,183,1,128,0.0251948833465576,183.0,128.0,0.0457407592088072
nfcorpus,0,PLAIN-1193,dibud,1,256,256,135,121,1,budget,32,32,32,20,0.082914800661557,0.082914800661557,183,1,183,0.025195837020874,183.0,183.0,0.082914800661557
nfcorpus,0,PLAIN-1193,dibud,1,512,512,354,158,1,budget,44,44,44,20,0.082914800661557,0.082914800661557,183,1,183,0.025195837020874,183.0,183.0,0.082914800661557
nfcorpus,0,PLAIN-1193,dibud,1,1024,1024,866,158,1,budget,53,53,53,20,0.082914800661557,0.082914800661557,183,1,183,0.025195837020874,183.0,183.0,0.082914800661557
nfcorpus,0,PLAIN-1193,dibud,1,2048,1922,1764,158,1,cap100,100,100,100,20,0.082914800661557,0.082914800661557,183,1,183,0.025195837020874,183.0,183.0,0.082914800661557
nfcorpus,0,PLAIN-1193,dibud,1,4096,1922,1764,158,1,cap100,100,100,100,20,0.082914800661557,0.082914800661557,183,1,183,0.0251967906951904,183.0,183.0,0.082914800661557
