dataset,snapshot,policy,batch,accesses,dense,sparse,known,stop,k,k_lower,k_upper,k20,ndcg20,full_ndcg20,cost20,baseline20_complete,budget20_cost,elapsed_seconds,baseline_cost_lower,capped_cost_upper,ndcg20_upper,query_id,budget,target,fold
msmarco-passage-trec-dl-2019,0,dibud,1,512,295,217,1,budget,6,6,6,6,0.2628916700758529,0.5288394125113359,26409,1,512,1.53214693069458,26409.0,512.0,0.2628916700758529,1063750,512,0.9,4
msmarco-passage-trec-dl-2019,0,dibud,1,512,229,283,1,budget,9,9,9,9,0.4568333656712727,0.5627081954560113,5359,1,512,0.272014856338501,5359.0,512.0,0.4568333656712727,1103812,512,0.9,4
msmarco-passage-trec-dl-2019,0,dibud,1,512,218,294,1,budget,17,17,17,17,0.5954183374011592,0.5954183374011592,964,1,512,0.3026518821716308,964.0,512.0,0.5954183374011592,1106007,512,0.9,4
msmarco-passage-trec-dl-2019,0,dibud,1,512,256,256,1,budget,11,11,11,11,0.2571505119477499,0.339162891621534,1746,1,512,0.2546548843383789,1746.0,512.0,0.2571505119477499,1113437,512,0.9,4
msmarco-passage-trec-dl-2019,0,dibud,1,512,295,217,1,budget,73,73,73,20,0.794386965420065,0.794386965420065,184,1,184,0.0401027202606201,184.0,184.0,0.794386965420065,1114819,512,0.9,4
msmarco-passage-trec-dl-2019,0,dibud,1,512,256,256,1,budget,26,26,26,20,0.7335871746509132,0.7335871746509132,358,1,358,0.0621430873870849,358.0,358.0,0.7335871746509132,1133167,512,0.9,4
msmarco-passage-trec-dl-2019,0,dibud,1,512,256,256,1,budget,49,49,49,20,0.8744845044083842,0.8744845044083842,98,1,98,0.029299259185791,98.0,98.0,0.8744845044083842,359349,512,0.9,4
msmarco-passage-trec-dl-2019,0,dibud,1,512,305,207,1,budget,34,34,34,20,0.6658689098011058,0.6658689098011058,141,1,141,0.0595300197601318,141.0,141.0,0.6658689098011058,47923,512,0.9,4
msmarco-passage-trec-dl-2019,0,dibud,1,2048,1593,455,1,budget,41,41,41,20,1.0,1.0,475,1,475,0.6982300281524658,475.0,475.0,1.0,104861,2048,0.95,0
msmarco-passage-trec-dl-2019,0,dibud,1,2048,631,1417,1,budget,33,33,33,20,0.5941198942441208,0.5941198942441208,186,1,186,0.2668628692626953,186.0,186.0,0.5941198942441208,1114646,2048,0.95,0
msmarco-passage-trec-dl-2019,0,dibud,1,2048,1317,731,1,budget,56,56,56,20,0.4596195627751552,0.4596195627751552,197,1,197,0.0551180839538574,197.0,197.0,0.4596195627751552,148538,2048,0.95,0
msmarco-passage-trec-dl-2019,0,dibud,1,1223,799,424,1,cap100,100,100,100,20,0.9668446814705784,0.9668446814705784,178,1,178,0.0244832038879394,178.0,178.0,0.9668446814705784,156493,2048,0.95,0
msmarco-passage-trec-dl-2019,0,dibud,1,2048,1668,380,1,budget,42,42,42,20,0.7608046694978651,0.7608046694978651,89,1,89,0.1022641658782959,89.0,89.0,0.7608046694978651,182539,2048,0.95,0
msmarco-passage-trec-dl-2019,0,dibud,1,2048,872,1176,1,budget,12,12,12,12,0.150437134494807,0.1899493779221958,402879,1,2048,3.78147292137146,402879.0,2048.0,0.150437134494807,443396,2048,0.95,0
msmarco-passage-trec-dl-2019,0,dibud,1,1003,635,368,1,cap100,100,100,100,20,0.5724624301728537,0.5724624301728537,116,1,116,0.0225551128387451,116.0,116.0,0.5724624301728537,490595,2048,0.95,0
msmarco-passage-trec-dl-2019,0,dibud,1,2048,1141,907,1,budget,34,34,34,20,0.7888099091970884,0.7888099091970884,916,1,916,0.1020619869232177,916.0,916.0,0.7888099091970884,833860,2048,0.95,0
msmarco-passage-trec-dl-2019,0,dibud,1,2048,1674,374,1,budget,34,34,34,20,0.728914320877073,0.728914320877073,1079,1,1079,0.1011440753936767,1079.0,1079.0,0.728914320877073,962179,2048,0.95,0
msmarco-passage-trec-dl-2019,0,dibud,1,1024,603,421,1,budget,26,26,26,20,0.722361082584816,0.722361082584816,344,1,344,0.2005090713500976,344.0,344.0,0.722361082584816,1115776,1024,0.95,1
msmarco-passage-trec-dl-2019,0,dibud,1,1024,857,167,1,budget,28,28,28,20,0.977270778638806,0.977270778638806,192,1,192,0.1979069709777832,192.0,192.0,0.977270778638806,1117099,1024,0.95,1
msmarco-passage-trec-dl-2019,0,dibud,1,1024,512,512,1,budget,6,6,6,6,0.3546128551902289,0.5520479356236625,123288,1,1024,1.6901309490203855,123288.0,1024.0,0.3546128551902289,1121709,1024,0.95,1
msmarco-passage-trec-dl-2019,0,dibud,1,1024,304,720,1,budget,25,25,25,20,0.6756767456295956,0.6756767456295956,378,1,378,0.1149518489837646,378.0,378.0,0.6756767456295956,1129237,1024,0.95,1
msmarco-passage-trec-dl-2019,0,dibud,1,1024,593,431,1,budget,31,31,31,20,0.4375478891993805,0.4375478891993805,297,1,297,0.1032497882843017,297.0,297.0,0.4375478891993805,451602,1024,0.95,1
msmarco-passage-trec-dl-2019,0,dibud,1,1024,772,252,1,budget,79,79,79,20,0.6904651289294221,0.6904651289294221,152,1,152,0.0741338729858398,152.0,152.0,0.6904651289294221,573724,1024,0.95,1
msmarco-passage-trec-dl-2019,0,dibud,1,1024,512,512,1,budget,5,5,5,5,1.0,1.0,3533518,1,1024,34.96776509284973,3533518.0,1024.0,1.0,855410,1024,0.95,1
msmarco-passage-trec-dl-2019,0,dibud,1,1024,616,408,1,budget,35,35,35,20,0.4851031845859314,0.4851031845859314,158,1,158,0.1016950607299804,158.0,158.0,0.4851031845859314,87452,1024,0.95,1
msmarco-passage-trec-dl-2019,0,dibud,1,720,446,274,1,cap100,100,100,100,20,0.4353916603916135,0.4353916603916135,199,1,199,0.020745038986206,199.0,199.0,0.4353916603916135,915593,1024,0.95,1
msmarco-passage-trec-dl-2019,0,dibud,1,512,233,279,1,budget,12,12,12,12,0.1637675566773413,0.1637675566773413,35083,1,512,2.3909339904785156,35083.0,512.0,0.1637675566773413,1037798,512,0.95,2
msmarco-passage-trec-dl-2019,0,dibud,1,512,243,269,1,budget,7,7,7,7,0.3593849016736014,0.5218081021710331,9600,1,512,0.2618598937988281,9600.0,512.0,0.3593849016736014,1110199,512,0.95,2
msmarco-passage-trec-dl-2019,0,dibud,1,512,294,218,1,budget,16,16,16,16,0.5580585239527681,0.591704508961238,1119,1,512,0.2794101238250732,1119.0,512.0,0.5580585239527681,1112341,512,0.95,2
msmarco-passage-trec-dl-2019,0,dibud,1,512,256,256,1,budget,3,3,3,3,0.2451429235553646,0.6282923757275933,43175,1,512,0.630591869354248,43175.0,512.0,0.2451429235553646,1124210,512,0.95,2
msmarco-passage-trec-dl-2019,0,dibud,1,512,341,171,1,budget,30,30,30,20,0.8589067191579817,0.8589067191579817,103,1,103,0.1136019229888916,103.0,103.0,0.8589067191579817,130510,512,0.95,2
msmarco-passage-trec-dl-2019,0,dibud,1,512,272,240,1,budget,40,40,40,20,0.714082561191865,0.714082561191865,226,1,226,0.1031141281127929,226.0,226.0,0.714082561191865,264014,512,0.95,2
msmarco-passage-trec-dl-2019,0,dibud,1,512,229,283,1,budget,11,11,11,11,0.3114449119386561,0.3604873505400204,703,1,512,0.1011159420013427,703.0,512.0,0.3114449119386561,489204,512,0.95,2
