dataset,query_id,k,batch_size,certified,censored_at_5000,certificate_depth,depth_lower_bound,depth_per_k,exceeds_1000,exceeds_2000,overlap_at_k,overlap_at_5k,overlap_at_10k_capped1000,fused_topk_dual_seen_fraction,fused_topk_opposite_rank_median,fused_topk_opposite_rank_max,fused_topk_any_opposite_censored,kth_lower_at_5000,anonymous_upper_at_5000,strongest_competitor_upper_at_5000,minimum_order_slack_at_5000,ambiguity_at_5000,known_k20_poison_query,judged_relevant_total,judged_relevant_retrieved,judged_recall_at_k,judged_dcg_at_k,judged_ndcg_at_k
msmarco-passage-trec-dl-2019,573724,50,64,1,0,192,192,3.84,0,0,0.58,0.44,0.29,1.0,45.0,149,0,0.01799733377993107,0.0003952569095417857,0.030621785670518875,2.7921050786972046e-06,certified,0,69,37,0.5362318840579711,17.19816956659573,0.6229299559051044
msmarco-passage-trec-dl-2019,573724,100,64,0,1,,5001,,1,1,0.65,0.29,0.191,0.98,80.5,5001,1,0.0114572923630476,0.0003952569095417857,0.030621785670518875,-4.4024549424648285e-05,seen-competitor,0,69,55,0.7971014492753623,21.38595217896836,0.6939686617877886
msmarco-passage-trec-dl-2019,168216,5,64,1,0,64,64,12.8,0,0,0.4,0.16,0.34,1.0,10.0,27,0,0.027500923722982407,0.0003952569095417857,0.032786883413791656,0.0005122870206832886,certified,0,289,5,0.01730103806228374,20.639213832155747,1.0
msmarco-passage-trec-dl-2019,168216,10,64,1,0,128,128,12.8,0,0,0.3,0.34,0.6,1.0,26.5,55,0,0.023959826678037643,0.0003952569095417857,0.032786883413791656,2.2293999791145325e-05,certified,0,289,10,0.03460207612456748,31.804915366618417,1.0
msmarco-passage-trec-dl-2019,168216,20,64,1,0,128,128,6.4,0,0,0.2,0.6,0.705,1.0,37.0,80,0,0.022592592984437943,0.0003952569095417857,0.032786883413791656,3.295019268989563e-06,certified,0,289,20,0.06920415224913495,49.28187867346458,1.0
msmarco-passage-trec-dl-2019,168216,50,64,1,0,192,192,3.84,0,0,0.34,0.636,0.546,1.0,58.5,192,0,0.018616171553730965,0.0003952569095417857,0.032786883413791656,4.954636096954346e-07,certified,0,289,50,0.17301038062283736,79.92463726548073,0.8852567802081158
msmarco-passage-trec-dl-2019,168216,100,64,1,0,384,384,3.84,0,0,0.6,0.546,0.565,1.0,89.0,350,0,0.013178561814129353,0.0003952569095417857,0.032786883413791656,4.954636096954346e-07,certified,0,289,100,0.3460207612456747,121.55109830618841,0.9409043540373102
msmarco-passage-trec-dl-2019,1133167,5,64,1,0,64,64,12.8,0,0,0.0,0.2,0.16,1.0,15.0,20,0,0.028006266802549362,0.0003952569095417857,0.02943722903728485,4.9952417612075806e-05,certified,0,285,5,0.017543859649122806,8.845377356638176,0.4285714285714285
msmarco-passage-trec-dl-2019,1133167,10,64,1,0,128,128,12.8,0,0,0.0,0.16,0.37,1.0,24.5,108,0,0.02211705595254898,0.0003952569095417857,0.02943722903728485,7.078051567077637e-07,certified,0,285,10,0.03508771929824561,14.333081594026913,0.4506561777891266
msmarco-passage-trec-dl-2019,1133167,20,64,1,0,192,192,9.6,0,0,0.25,0.37,0.535,1.0,74.0,186,0,0.02045716531574726,0.0003952569095417857,0.02943722903728485,7.078051567077637e-07,certified,0,285,20,0.07017543859649122,21.360452299212895,0.5285825757141327
