dataset,budget,method,cap,ndcg10_linear,ndcg10_exponential,recall
trec-covid-chrono-r1,10000,fixed_topL_zero,100,0.706246183076777,0.6763514975145122,0.27960000018578035
trec-covid-chrono-r2,128,balanced_cert,20,0.5265683433967587,0.5078186609089235,0.030555680604275114
trec-covid-chrono-r2,128,balanced_cert,100,0.5265683433967587,0.5078186609089235,0.030555680604275114
trec-covid-chrono-r2,128,balanced_zero,20,0.7000970843675656,0.670280100688083,0.07047293851249169
trec-covid-chrono-r2,128,balanced_zero,100,0.7000970843675656,0.670280100688083,0.21239794592738256
trec-covid-chrono-r2,128,blocker_cert,20,0.5265683433967587,0.5078186609089235,0.030555680604275114
trec-covid-chrono-r2,128,blocker_cert,100,0.5265683433967587,0.5078186609089235,0.030555680604275114
trec-covid-chrono-r2,128,blocker_zero,20,0.7000970843675656,0.670280100688083,0.07047293851249169
trec-covid-chrono-r2,128,blocker_zero,100,0.7000970843675656,0.670280100688083,0.21239794592738256
trec-covid-chrono-r2,128,fixed_topL_zero,20,0.7000970843675656,0.670280100688083,0.07047293851249169
trec-covid-chrono-r2,128,fixed_topL_zero,100,0.7000970843675656,0.670280100688083,0.21239794592738256
trec-covid-chrono-r2,256,balanced_cert,20,0.6119347535757357,0.5904331252671935,0.04511049922933347
trec-covid-chrono-r2,256,balanced_cert,100,0.6119347535757357,0.5904331252671935,0.04705513895049049
trec-covid-chrono-r2,256,balanced_zero,20,0.7137917215034015,0.684066779664236,0.0726435838899939
trec-covid-chrono-r2,256,balanced_zero,100,0.7137917215034015,0.684066779664236,0.21996208551490298
trec-covid-chrono-r2,256,blocker_cert,20,0.6119347535757357,0.5904331252671935,0.04511049922933347
trec-covid-chrono-r2,256,blocker_cert,100,0.6119347535757357,0.5904331252671935,0.04705513895049049
trec-covid-chrono-r2,256,blocker_zero,20,0.7137917215034015,0.684066779664236,0.0726435838899939
trec-covid-chrono-r2,256,blocker_zero,100,0.7137917215034015,0.684066779664236,0.21996208551490298
trec-covid-chrono-r2,256,fixed_topL_zero,20,0.7137917215034015,0.684066779664236,0.0726435838899939
trec-covid-chrono-r2,256,fixed_topL_zero,100,0.7137917215034015,0.684066779664236,0.21996208551490298
trec-covid-chrono-r2,512,balanced_cert,20,0.68088769729473,0.6562149837584976,0.05794101212901209
trec-covid-chrono-r2,512,balanced_cert,100,0.68088769729473,0.6562149837584976,0.06928371846045792
trec-covid-chrono-r2,512,balanced_zero,20,0.7095571966539175,0.6797920842255595,0.07254713858914087
trec-covid-chrono-r2,512,balanced_zero,100,0.7095571966539175,0.6797920842255595,0.22445845713878976
trec-covid-chrono-r2,512,blocker_cert,20,0.68088769729473,0.6562149837584976,0.05794101212901209
trec-covid-chrono-r2,512,blocker_cert,100,0.68088769729473,0.6562149837584976,0.07060717140047354
trec-covid-chrono-r2,512,blocker_zero,20,0.7095571966539175,0.6797920842255595,0.07254713858914087
trec-covid-chrono-r2,512,blocker_zero,100,0.7095571966539175,0.6797920842255595,0.22410921379591586
trec-covid-chrono-r2,512,fixed_topL_zero,20,0.7095571966539175,0.6797920842255595,0.07254713858914087
trec-covid-chrono-r2,512,fixed_topL_zero,100,0.7095571966539175,0.6797920842255595,0.22445845713878976
trec-covid-chrono-r2,1024,balanced_cert,20,0.6928941021801318,0.6665334012446769,0.06424195443017587
trec-covid-chrono-r2,1024,balanced_cert,100,0.6928941021801318,0.6665334012446769,0.09005457143256942
trec-covid-chrono-r2,1024,balanced_zero,20,0.7131798707184202,0.6837645525883468,0.07410834743197361
trec-covid-chrono-r2,1024,balanced_zero,100,0.7131798707184202,0.6837645525883468,0.22788590291332075
trec-covid-chrono-r2,1024,blocker_cert,20,0.6974602591900755,0.6710995582546205,0.06493226539742056
trec-covid-chrono-r2,1024,blocker_cert,100,0.6974602591900755,0.6710995582546205,0.09393831078691516
trec-covid-chrono-r2,1024,blocker_zero,20,0.7132767112807172,0.6838936733380763,0.07430676013038631
trec-covid-chrono-r2,1024,blocker_zero,100,0.7132767112807172,0.6838936733380763,0.22735600797869918
trec-covid-chrono-r2,1024,fixed_topL_zero,20,0.7131798707184202,0.6837645525883468,0.07410834743197361
trec-covid-chrono-r2,1024,fixed_topL_zero,100,0.7131798707184202,0.6837645525883468,0.22788590291332075
trec-covid-chrono-r2,2048,balanced_cert,20,0.7053578279043228,0.6786436781455404,0.0690219782605996
trec-covid-chrono-r2,2048,balanced_cert,100,0.7053578279043228,0.6786436781455404,0.1105644421890657
trec-covid-chrono-r2,2048,balanced_zero,20,0.7113636415945571,0.6826475539390299,0.07451254800140425
trec-covid-chrono-r2,2048,balanced_zero,100,0.7113636415945571,0.6826475539390299,0.22850084060443465
trec-covid-chrono-r2,2048,blocker_cert,20,0.7053578279043228,0.6786436781455404,0.06988707289613368
trec-covid-chrono-r2,2048,blocker_cert,100,0.7053578279043228,0.6786436781455404,0.11588196911275667
trec-covid-chrono-r2,2048,blocker_zero,20,0.7113636415945571,0.6826475539390299,0.07488291837177462
trec-covid-chrono-r2,2048,blocker_zero,100,0.7113636415945571,0.6826475539390299,0.2272398645826492
trec-covid-chrono-r2,2048,fixed_topL_zero,20,0.7113636415945571,0.6826475539390299,0.07451254800140425
trec-covid-chrono-r2,2048,fixed_topL_zero,100,0.7113636415945571,0.6826475539390299,0.22850084060443465
trec-covid-chrono-r2,4096,balanced_cert,20,0.7069376339771486,0.679696882194091,0.07114022306187652
trec-covid-chrono-r2,4096,balanced_cert,100,0.7069376339771486,0.679696882194091,0.12314922198285105
trec-covid-chrono-r2,4096,balanced_zero,20,0.7113636415945571,0.6826475539390299,0.07491884634688549
trec-covid-chrono-r2,4096,balanced_zero,100,0.7113636415945571,0.6826475539390299,0.22751358213144515
trec-covid-chrono-r2,4096,blocker_cert,20,0.7080948210094282,0.6804683402156106,0.07200087359233837
trec-covid-chrono-r2,4096,blocker_cert,100,0.7080948210094282,0.6804683402156106,0.13085037882371153
trec-covid-chrono-r2,4096,blocker_zero,20,0.7114165915692635,0.6826828539221675,0.07466439342067684
trec-covid-chrono-r2,4096,blocker_zero,100,0.7114165915692635,0.6826828539221675,0.2263368235405807
trec-covid-chrono-r2,4096,fixed_topL_zero,20,0.7113636415945571,0.6826475539390299,0.07491884634688549
trec-covid-chrono-r2,4096,fixed_topL_zero,100,0.7113636415945571,0.6826475539390299,0.22751358213144515
trec-covid-chrono-r2,8192,balanced_cert,20,0.7080948210094282,0.6804683402156106,0.07235886855738315
trec-covid-chrono-r2,8192,balanced_cert,100,0.7080948210094282,0.6804683402156106,0.13865129821975652
trec-covid-chrono-r2,8192,balanced_zero,20,0.7103562450992811,0.6819759562755126,0.07491884634688549
trec-covid-chrono-r2,8192,balanced_zero,100,0.7103562450992811,0.6819759562755126,0.22778301396084388
trec-covid-chrono-r2,8192,blocker_cert,20,0.7080948210094282,0.6804683402156106,0.07242860356435665
trec-covid-chrono-r2,8192,blocker_cert,100,0.7080948210094282,0.6804683402156106,0.14487314715477748
trec-covid-chrono-r2,8192,blocker_zero,20,0.7103562450992811,0.6819759562755126,0.07491884634688549
trec-covid-chrono-r2,8192,blocker_zero,100,0.7103562450992811,0.6819759562755126,0.2281237516778445
trec-covid-chrono-r2,8192,fixed_topL_zero,20,0.7103562450992811,0.6819759562755126,0.07491884634688549
trec-covid-chrono-r2,8192,fixed_topL_zero,100,0.7103562450992811,0.6819759562755126,0.22778301396084388
trec-covid-chrono-r2,10000,balanced_cert,20,0.7080948210094282,0.6804683402156106,0.07242860356435665
trec-covid-chrono-r2,10000,balanced_cert,100,0.7080948210094282,0.6804683402156106,0.15302185958262415
