dataset,query_id,budget,method,cap,ndcg10_linear,ndcg10_exponential,recall
trec-covid-chrono-r5,7,128,balanced_zero,100,0.9216017310213247,0.9216017310213247,0.13740458015267176
trec-covid-chrono-r5,8,128,balanced_zero,20,0.7065836017263629,0.7065836017263628,0.020061728395061727
trec-covid-chrono-r5,8,128,balanced_zero,100,0.7065836017263629,0.7065836017263628,0.07253086419753087
trec-covid-chrono-r5,9,128,balanced_zero,20,0.17554440492323456,0.1633170845733412,0.028708133971291867
trec-covid-chrono-r5,9,128,balanced_zero,100,0.17554440492323456,0.1633170845733412,0.1674641148325359
trec-covid-chrono-r5,10,128,balanced_zero,20,0.9608008655106622,0.9477344873475498,0.03219315895372234
trec-covid-chrono-r5,10,128,balanced_zero,100,0.9608008655106622,0.9477344873475498,0.1227364185110664
trec-covid-chrono-r5,11,128,balanced_zero,20,0.5244619468732225,0.4775190155549404,0.02262443438914027
trec-covid-chrono-r5,11,128,balanced_zero,100,0.5244619468732225,0.4775190155549404,0.04751131221719457
trec-covid-chrono-r5,12,128,balanced_zero,20,0.3589542101716347,0.3222722491219546,0.009259259259259259
trec-covid-chrono-r5,12,128,balanced_zero,100,0.3589542101716347,0.3222722491219546,0.05709876543209876
trec-covid-chrono-r5,13,128,balanced_zero,20,0.914856882358379,0.914856882358379,0.01847826086956522
trec-covid-chrono-r5,13,128,balanced_zero,100,0.914856882358379,0.914856882358379,0.06956521739130435
trec-covid-chrono-r5,14,128,balanced_zero,20,0.933745776545611,0.933745776545611,0.06593406593406594
trec-covid-chrono-r5,14,128,balanced_zero,100,0.933745776545611,0.933745776545611,0.23809523809523808
trec-covid-chrono-r5,15,128,balanced_zero,20,0.49106397545528035,0.4779975972921678,0.02466367713004484
trec-covid-chrono-r5,15,128,balanced_zero,100,0.49106397545528035,0.4779975972921678,0.09417040358744394
trec-covid-chrono-r5,16,128,balanced_zero,20,0.7845007589072331,0.7347524196944406,0.03414634146341464
trec-covid-chrono-r5,16,128,balanced_zero,100,0.7845007589072331,0.7347524196944406,0.1048780487804878
trec-covid-chrono-r5,17,128,balanced_zero,20,0.801253240190879,0.7350043202545055,0.02510460251046025
trec-covid-chrono-r5,17,128,balanced_zero,100,0.801253240190879,0.7350043202545055,0.08507670850767085
trec-covid-chrono-r5,18,128,balanced_zero,20,0.6642237664209029,0.6484257056926442,0.02252252252252252
trec-covid-chrono-r5,18,128,balanced_zero,100,0.6642237664209029,0.6484257056926442,0.08258258258258258
trec-covid-chrono-r5,19,128,balanced_zero,20,0.791808793097263,0.722411724129684,0.1282051282051282
trec-covid-chrono-r5,19,128,balanced_zero,100,0.791808793097263,0.722411724129684,0.23076923076923078
trec-covid-chrono-r5,20,128,balanced_zero,20,1.0,1.0,0.02509907529722589
trec-covid-chrono-r5,20,128,balanced_zero,100,1.0,1.0,0.11756935270805813
trec-covid-chrono-r5,21,128,balanced_zero,20,0.835780413693672,0.835780413693672,0.0182648401826484
trec-covid-chrono-r5,21,128,balanced_zero,100,0.835780413693672,0.835780413693672,0.0684931506849315
trec-covid-chrono-r5,22,128,balanced_zero,20,1.0,1.0,0.030252100840336135
trec-covid-chrono-r5,22,128,balanced_zero,100,1.0,1.0,0.11092436974789915
trec-covid-chrono-r5,23,128,balanced_zero,20,0.9574284411791895,0.9432379215722527,0.027848101265822784
