dataset,query_id,policy,work_budget,dense_depth,sparse_depth,actual_work,dense_work_share,absolute_depth_gap,certified_k_cap100,certified_at_least_100,next_certificate_gap,seen_candidates,returned_ndcg_at10,full_ndcg_at10,ndcg_retention,returned_recall_at100,full_recall_at100,recall_retention
trec-covid-chrono-r3,15,blocker,8192,3648,4544,8192,0.4453125,896,5,0,-8.090771734714508e-05,7659,0.1672434830874282,0.32157313544055566,0.5200791504498794,0.006666666666666667,0.08666666666666667,0.07692307692307693
trec-covid-chrono-r3,15,blocker,10000,5000,5000,10000,0.5,0,5,0,-6.133317947387695e-05,9281,0.1672434830874282,0.32157313544055566,0.5200791504498794,0.006666666666666667,0.08666666666666667,0.07692307692307693
trec-covid-chrono-r3,16,balanced,128,64,64,128,0.5,0,5,0,-0.007526880130171776,123,0.44544165270537917,0.6119153505827929,0.727946524435344,0.018656716417910446,0.1417910447761194,0.13157894736842105
trec-covid-chrono-r3,16,balanced,256,128,128,256,0.5,0,6,0,-0.003373134881258011,244,0.5238399216840545,0.6119153505827929,0.8560659921100938,0.022388059701492536,0.1417910447761194,0.15789473684210525
trec-covid-chrono-r3,16,balanced,512,256,256,512,0.5,0,6,0,-0.0012185443192720413,495,0.5238399216840545,0.6119153505827929,0.8560659921100938,0.022388059701492536,0.1417910447761194,0.15789473684210525
trec-covid-chrono-r3,16,balanced,1024,512,512,1024,0.5,0,7,0,-0.00019738450646400452,997,0.5482945623838411,0.6119153505827929,0.8960300830198836,0.026119402985074626,0.1417910447761194,0.18421052631578946
trec-covid-chrono-r3,16,balanced,2048,1024,1024,2048,0.5,0,10,0,-0.00020279549062252045,1986,0.6119153505827929,0.6119153505827929,1.0,0.029850746268656716,0.1417910447761194,0.2105263157894737
trec-covid-chrono-r3,16,balanced,4096,2048,2048,4096,0.5,0,13,0,-8.808448910713196e-05,3957,0.6119153505827929,0.6119153505827929,1.0,0.03731343283582089,0.1417910447761194,0.2631578947368421
trec-covid-chrono-r3,16,balanced,8192,4096,4096,8192,0.5,0,14,0,-0.00019540637731552124,7808,0.6119153505827929,0.6119153505827929,1.0,0.041044776119402986,0.1417910447761194,0.2894736842105263
trec-covid-chrono-r3,16,balanced,10000,5000,5000,10000,0.5,0,14,0,-0.00015241838991641998,9422,0.6119153505827929,0.6119153505827929,1.0,0.041044776119402986,0.1417910447761194,0.2894736842105263
trec-covid-chrono-r3,16,blocker,128,64,64,128,0.5,0,5,0,-0.007526880130171776,123,0.44544165270537917,0.6119153505827929,0.727946524435344,0.018656716417910446,0.1417910447761194,0.13157894736842105
trec-covid-chrono-r3,16,blocker,256,128,128,256,0.5,0,6,0,-0.003373134881258011,244,0.5238399216840545,0.6119153505827929,0.8560659921100938,0.022388059701492536,0.1417910447761194,0.15789473684210525
trec-covid-chrono-r3,16,blocker,512,256,256,512,0.5,0,6,0,-0.0012185443192720413,495,0.5238399216840545,0.6119153505827929,0.8560659921100938,0.022388059701492536,0.1417910447761194,0.15789473684210525
trec-covid-chrono-r3,16,blocker,1024,512,512,1024,0.5,0,7,0,-0.00019738450646400452,997,0.5482945623838411,0.6119153505827929,0.8960300830198836,0.026119402985074626,0.1417910447761194,0.18421052631578946
trec-covid-chrono-r3,16,blocker,2048,1024,1024,2048,0.5,0,10,0,-0.00020279549062252045,1986,0.6119153505827929,0.6119153505827929,1.0,0.029850746268656716,0.1417910447761194,0.2105263157894737
trec-covid-chrono-r3,16,blocker,4096,3072,1024,4096,0.75,2048,14,0,-0.0002740751951932907,3979,0.6119153505827929,0.6119153505827929,1.0,0.041044776119402986,0.1417910447761194,0.2894736842105263
trec-covid-chrono-r3,16,blocker,8192,5000,3192,8192,0.6103515625,1808,14,0,-0.00015241838991641998,7834,0.6119153505827929,0.6119153505827929,1.0,0.041044776119402986,0.1417910447761194,0.2894736842105263
