dataset,query_id,repetition,policy,seconds,calls,k100
msmarco-passage-trec-dl-2020,1122767,1,grouped-blocker64,0.002488542115315795,33,44
msmarco-passage-trec-dl-2020,1122767,1,grouped-unit,0.015040123951621354,2049,44
msmarco-passage-trec-dl-2020,1122767,1,grouped-handoff64,0.028166541131213307,1605,44
msmarco-passage-trec-dl-2020,1122767,1,array-blocker64,0.005967834964394569,33,44
msmarco-passage-trec-dl-2020,1122767,1,array-unit,0.3589186680037528,2049,44
msmarco-passage-trec-dl-2020,1122767,2,grouped-unit,0.014906293130479753,2049,44
msmarco-passage-trec-dl-2020,1122767,2,grouped-handoff64,0.027902958914637566,1605,44
msmarco-passage-trec-dl-2020,1122767,2,array-blocker64,0.006034875172190368,33,44
msmarco-passage-trec-dl-2020,1122767,2,array-unit,0.360745292971842,2049,44
msmarco-passage-trec-dl-2020,1122767,2,grouped-blocker64,0.002427833853289485,33,44
msmarco-passage-trec-dl-2020,940547,0,array-unit,0.30126366682816297,2049,27
msmarco-passage-trec-dl-2020,940547,0,grouped-blocker64,0.002338790218345821,33,27
msmarco-passage-trec-dl-2020,940547,0,grouped-unit,0.014990459894761443,2049,27
msmarco-passage-trec-dl-2020,940547,0,grouped-handoff64,0.023864584043622017,1311,27
msmarco-passage-trec-dl-2020,940547,0,array-blocker64,0.0051241249311715364,33,27
msmarco-passage-trec-dl-2020,940547,1,grouped-blocker64,0.0023422081721946597,33,27
msmarco-passage-trec-dl-2020,940547,1,grouped-unit,0.015193040948361158,2049,27
msmarco-passage-trec-dl-2020,940547,1,grouped-handoff64,0.02359579096082598,1311,27
msmarco-passage-trec-dl-2020,940547,1,array-blocker64,0.005150041775777936,33,27
msmarco-passage-trec-dl-2020,940547,1,array-unit,0.30107245803810656,2049,27
msmarco-passage-trec-dl-2020,940547,2,grouped-unit,0.014961791108362377,2049,27
msmarco-passage-trec-dl-2020,940547,2,grouped-handoff64,0.02358487492892891,1311,27
msmarco-passage-trec-dl-2020,940547,2,array-blocker64,0.005169707001186907,33,27
msmarco-passage-trec-dl-2020,940547,2,array-unit,0.30199204105883837,2049,27
msmarco-passage-trec-dl-2020,940547,2,grouped-blocker64,0.002400374156422913,33,27
msmarco-passage-trec-dl-2020,1108651,0,grouped-blocker64,0.0023739999160170555,33,21
msmarco-passage-trec-dl-2020,1108651,0,grouped-unit,0.014588417019695044,2049,21
msmarco-passage-trec-dl-2020,1108651,0,grouped-handoff64,0.01989783300086856,1154,21
msmarco-passage-trec-dl-2020,1108651,0,array-blocker64,0.004663374973461032,33,21
msmarco-passage-trec-dl-2020,1108651,0,array-unit,0.2650861251167953,2049,21
msmarco-passage-trec-dl-2020,1108651,1,grouped-unit,0.0146289998665452,2049,21
msmarco-passage-trec-dl-2020,1108651,1,grouped-handoff64,0.019920706981793046,1154,21
msmarco-passage-trec-dl-2020,1108651,1,array-blocker64,0.0046552070416510105,33,21
msmarco-passage-trec-dl-2020,1108651,1,array-unit,0.2655043739359826,2049,21
msmarco-passage-trec-dl-2020,1108651,1,grouped-blocker64,0.002290082862600684,33,21
msmarco-passage-trec-dl-2020,1108651,2,grouped-handoff64,0.020092625985853374,1154,21
msmarco-passage-trec-dl-2020,1108651,2,array-blocker64,0.004589835065416992,33,21
msmarco-passage-trec-dl-2020,1108651,2,array-unit,0.2651596680516377,2049,21
msmarco-passage-trec-dl-2020,1108651,2,grouped-blocker64,0.0022503338987007737,33,21
msmarco-passage-trec-dl-2020,1108651,2,grouped-unit,0.014245375990867615,2049,21
msmarco-passage-trec-dl-2020,1106979,0,grouped-handoff64,0.00809070817194879,377,41
msmarco-passage-trec-dl-2020,1106979,0,array-blocker64,0.0056301242439076304,33,41
msmarco-passage-trec-dl-2020,1106979,0,array-unit,0.34143279306590557,2049,41
msmarco-passage-trec-dl-2020,1106979,0,grouped-blocker64,0.002441042917780578,33,41
msmarco-passage-trec-dl-2020,1106979,0,grouped-unit,0.014868750935420394,2049,41
msmarco-passage-trec-dl-2020,1106979,1,array-blocker64,0.005639209761284292,33,41
msmarco-passage-trec-dl-2020,1106979,1,array-unit,0.3413414171664044,2049,41
msmarco-passage-trec-dl-2020,1106979,1,grouped-blocker64,0.0022811649832874537,33,41
msmarco-passage-trec-dl-2020,1106979,1,grouped-unit,0.014535999740473926,2049,41
msmarco-passage-trec-dl-2020,1106979,1,grouped-handoff64,0.008034834172576666,377,41
msmarco-passage-trec-dl-2020,1106979,2,array-unit,0.3418098739348352,2049,41
msmarco-passage-trec-dl-2020,1106979,2,grouped-blocker64,0.0023517929948866367,33,41
msmarco-passage-trec-dl-2020,1106979,2,grouped-unit,0.014768415945582092,2049,41
msmarco-passage-trec-dl-2020,1106979,2,grouped-handoff64,0.008005416020751,377,41
msmarco-passage-trec-dl-2020,1106979,2,array-blocker64,0.0056773320538923144,33,41
msmarco-passage-trec-dl-2020,1136962,0,grouped-blocker64,0.002518123830668628,33,69
msmarco-passage-trec-dl-2020,1136962,0,grouped-unit,0.014981165993958712,2049,69
msmarco-passage-trec-dl-2020,1136962,0,grouped-handoff64,0.01041008299216628,516,69
msmarco-passage-trec-dl-2020,1136962,0,array-blocker64,0.006949251051992178,33,69
msmarco-passage-trec-dl-2020,1136962,0,array-unit,0.4150272487895563,2049,69
msmarco-passage-trec-dl-2020,1136962,1,grouped-unit,0.015505541115999222,2049,69
msmarco-passage-trec-dl-2020,1136962,1,grouped-handoff64,0.011035584146156907,516,69
msmarco-passage-trec-dl-2020,1136962,1,array-blocker64,0.0070580418687313795,33,69
msmarco-passage-trec-dl-2020,1136962,1,array-unit,0.41488124895840883,2049,69
msmarco-passage-trec-dl-2020,1136962,1,grouped-blocker64,0.0025982920778915286,33,69
msmarco-passage-trec-dl-2020,1136962,2,grouped-handoff64,0.010562333860434592,516,69
msmarco-passage-trec-dl-2020,1136962,2,array-blocker64,0.0068149990402162075,33,69
msmarco-passage-trec-dl-2020,1136962,2,array-unit,0.4104860411025584,2049,69
