dataset,query_id,policy,budget,reads,dense,sparse,k100,certificate_calls,replay_seconds
msmarco-passage-trec-dl-2019,1129237,grouped-blocker64,1024,1024,320,704,25,17,0.0010951249860227108
msmarco-passage-trec-dl-2019,1129237,grouped-blocker64,2048,2048,448,1600,27,33,0.002149916021153331
msmarco-passage-trec-dl-2019,1129237,grouped-handoff64,128,128,53,75,12,25,0.0004634170327335596
msmarco-passage-trec-dl-2019,1129237,grouped-handoff64,256,256,103,153,16,125,0.002094250055961311
msmarco-passage-trec-dl-2019,1129237,grouped-handoff64,512,512,186,326,23,298,0.004951792070642114
msmarco-passage-trec-dl-2019,1129237,grouped-handoff64,1024,1024,304,720,25,535,0.009205250069499016
msmarco-passage-trec-dl-2019,1129237,grouped-handoff64,2048,2048,425,1623,27,780,0.014365792041644454
msmarco-passage-trec-dl-2019,489204,grouped-unit,128,128,60,68,4,129,0.000640957965515554
msmarco-passage-trec-dl-2019,489204,grouped-unit,256,256,119,137,8,257,0.0014642489841207862
msmarco-passage-trec-dl-2019,489204,grouped-unit,512,512,229,283,11,513,0.0032030820148065686
msmarco-passage-trec-dl-2019,489204,grouped-unit,1024,1024,388,636,22,1025,0.00671616499312222
msmarco-passage-trec-dl-2019,489204,grouped-unit,2048,2048,622,1426,26,2049,0.014226081897504628
msmarco-passage-trec-dl-2019,489204,grouped-blocker64,128,128,64,64,4,3,0.0001912090228870511
msmarco-passage-trec-dl-2019,489204,grouped-blocker64,256,256,128,128,7,5,0.00035737501457333565
msmarco-passage-trec-dl-2019,489204,grouped-blocker64,512,512,256,256,10,9,0.0005947919562458992
msmarco-passage-trec-dl-2019,489204,grouped-blocker64,1024,1024,384,640,22,17,0.0011313339928165078
msmarco-passage-trec-dl-2019,489204,grouped-blocker64,2048,2048,640,1408,26,33,0.0021789169404655695
msmarco-passage-trec-dl-2019,489204,grouped-handoff64,128,128,64,64,4,5,0.00016604107804596424
msmarco-passage-trec-dl-2019,489204,grouped-handoff64,256,256,119,137,8,115,0.0018298750510439277
msmarco-passage-trec-dl-2019,489204,grouped-handoff64,512,512,229,283,11,336,0.005285292048938572
msmarco-passage-trec-dl-2019,489204,grouped-handoff64,1024,1024,388,636,22,657,0.010898792068473995
msmarco-passage-trec-dl-2019,489204,grouped-handoff64,2048,2048,622,1426,26,1127,0.019627292058430612
msmarco-passage-trec-dl-2019,146187,grouped-unit,128,128,66,62,16,129,0.0008116670651361346
msmarco-passage-trec-dl-2019,146187,grouped-unit,256,256,144,112,23,257,0.0016951251309365034
msmarco-passage-trec-dl-2019,146187,grouped-unit,512,512,305,207,34,513,0.0035142501583322883
msmarco-passage-trec-dl-2019,146187,grouped-unit,1024,1024,378,646,56,1025,0.007226875168271363
msmarco-passage-trec-dl-2019,146187,grouped-unit,2048,2048,420,1628,65,2049,0.014845708152279258
msmarco-passage-trec-dl-2019,146187,grouped-blocker64,128,128,64,64,16,3,0.00017112493515014648
msmarco-passage-trec-dl-2019,146187,grouped-blocker64,256,256,128,128,22,5,0.0003024160396307707
msmarco-passage-trec-dl-2019,146187,grouped-blocker64,512,512,320,192,31,9,0.000550250057131052
msmarco-passage-trec-dl-2019,146187,grouped-blocker64,1024,1024,384,640,55,17,0.0011100841220468283
msmarco-passage-trec-dl-2019,146187,grouped-blocker64,2048,2048,448,1600,65,33,0.0021370421163737774
msmarco-passage-trec-dl-2019,146187,grouped-handoff64,128,128,64,64,16,4,0.0001978749642148614
msmarco-passage-trec-dl-2019,146187,grouped-handoff64,256,256,144,112,23,102,0.0016900829505175352
msmarco-passage-trec-dl-2019,146187,grouped-handoff64,512,512,305,207,34,297,0.004765582852996886
msmarco-passage-trec-dl-2019,146187,grouped-handoff64,1024,1024,378,646,56,407,0.007082873838953674
msmarco-passage-trec-dl-2019,146187,grouped-handoff64,2048,2048,420,1628,65,508,0.011609706794843078
msmarco-passage-trec-dl-2019,1063750,grouped-unit,128,128,70,58,4,129,0.0006879160646349192
msmarco-passage-trec-dl-2019,1063750,grouped-unit,256,256,142,114,6,257,0.0014650820521637797
msmarco-passage-trec-dl-2019,1063750,grouped-unit,512,512,295,217,6,513,0.003169373027049005
msmarco-passage-trec-dl-2019,1063750,grouped-unit,1024,1024,636,388,9,1025,0.006831248058006167
msmarco-passage-trec-dl-2019,1063750,grouped-unit,2048,2048,1426,622,11,2049,0.01432541396934539
msmarco-passage-trec-dl-2019,1063750,grouped-blocker64,128,128,64,64,4,3,0.0001594579080119729
msmarco-passage-trec-dl-2019,1063750,grouped-blocker64,256,256,128,128,6,5,0.00029445800464600325
msmarco-passage-trec-dl-2019,1063750,grouped-blocker64,512,512,256,256,6,9,0.0005975000094622374
msmarco-passage-trec-dl-2019,1063750,grouped-blocker64,1024,1024,640,384,9,17,0.0011703330092132092
msmarco-passage-trec-dl-2019,1063750,grouped-blocker64,2048,2048,1408,640,10,33,0.0023680420126765966
msmarco-passage-trec-dl-2019,1063750,grouped-handoff64,128,128,64,64,4,6,0.00016220798715949059
msmarco-passage-trec-dl-2019,1063750,grouped-handoff64,256,256,142,114,6,108,0.001657665940001607
msmarco-passage-trec-dl-2019,1063750,grouped-handoff64,512,512,295,217,6,314,0.005006540915928781
msmarco-passage-trec-dl-2019,1063750,grouped-handoff64,1024,1024,636,388,9,657,0.011307706939987838
msmarco-passage-trec-dl-2019,1063750,grouped-handoff64,2048,2048,1426,622,11,1126,0.019985623890534043
