dataset,query_id,policy,budget,reads,dense,sparse,k100,certificate_calls,replay_seconds
msmarco-passage-trec-dl-2019,146187,grouped-unit,2048,2048,420,1628,65,2049,0.014723499887622893
msmarco-passage-trec-dl-2019,146187,grouped-blocker64,128,128,64,64,16,3,0.0002013340126723051
msmarco-passage-trec-dl-2019,146187,grouped-blocker64,256,256,128,128,22,5,0.0003639180213212967
msmarco-passage-trec-dl-2019,146187,grouped-blocker64,512,512,320,192,31,9,0.0006631260039284825
msmarco-passage-trec-dl-2019,146187,grouped-blocker64,1024,1024,384,640,55,17,0.0012859179405495524
msmarco-passage-trec-dl-2019,146187,grouped-blocker64,2048,2048,448,1600,65,33,0.0023743759375065565
msmarco-passage-trec-dl-2019,1063750,grouped-unit,128,128,70,58,4,129,0.0006887910421937704
msmarco-passage-trec-dl-2019,1063750,grouped-unit,256,256,142,114,6,257,0.0015374990180134773
msmarco-passage-trec-dl-2019,1063750,grouped-unit,512,512,295,217,6,513,0.003294541034847498
msmarco-passage-trec-dl-2019,1063750,grouped-unit,1024,1024,636,388,9,1025,0.006817333051003516
msmarco-passage-trec-dl-2019,1063750,grouped-unit,2048,2048,1426,622,11,2049,0.014240500051528215
msmarco-passage-trec-dl-2019,1063750,grouped-blocker64,128,128,64,64,4,3,0.00016216689255088568
msmarco-passage-trec-dl-2019,1063750,grouped-blocker64,256,256,128,128,6,5,0.00029341690242290497
msmarco-passage-trec-dl-2019,1063750,grouped-blocker64,512,512,256,256,6,9,0.0005342508666217327
msmarco-passage-trec-dl-2019,1063750,grouped-blocker64,1024,1024,640,384,9,17,0.0010350848315283656
msmarco-passage-trec-dl-2019,1063750,grouped-blocker64,2048,2048,1408,640,10,33,0.002122917794622481
msmarco-passage-trec-dl-2019,182539,grouped-unit,128,128,75,53,28,129,0.000885708024725318
msmarco-passage-trec-dl-2019,182539,grouped-unit,256,256,152,104,31,257,0.001712499069981277
msmarco-passage-trec-dl-2019,182539,grouped-unit,512,512,322,190,39,513,0.003524957108311355
msmarco-passage-trec-dl-2019,182539,grouped-unit,1024,1024,743,281,40,1025,0.007036624010652304
msmarco-passage-trec-dl-2019,182539,grouped-unit,2048,2048,1668,380,42,2049,0.014494206989184022
msmarco-passage-trec-dl-2019,182539,grouped-blocker64,128,128,64,64,28,3,0.00023062503896653652
msmarco-passage-trec-dl-2019,182539,grouped-blocker64,256,256,128,128,30,5,0.0003558750031515956
msmarco-passage-trec-dl-2019,182539,grouped-blocker64,512,512,320,192,39,9,0.0006540409522131085
msmarco-passage-trec-dl-2019,182539,grouped-blocker64,1024,1024,704,320,40,17,0.001134915859438479
msmarco-passage-trec-dl-2019,182539,grouped-blocker64,2048,2048,1664,384,42,33,0.002242248854599893
msmarco-passage-trec-dl-2019,915593,grouped-unit,128,128,60,68,10,129,0.0007523749954998493
msmarco-passage-trec-dl-2019,915593,grouped-unit,256,256,126,130,23,257,0.0016740839928388596
msmarco-passage-trec-dl-2019,915593,grouped-unit,512,512,290,222,63,513,0.003666543052531779
msmarco-passage-trec-dl-2019,915593,grouped-unit,1024,720,446,274,100,721,0.005371043109335005
msmarco-passage-trec-dl-2019,915593,grouped-unit,2048,720,446,274,100,721,0.005371335078962147
msmarco-passage-trec-dl-2019,915593,grouped-blocker64,128,128,64,64,9,3,0.00014558399561792612
msmarco-passage-trec-dl-2019,915593,grouped-blocker64,256,256,128,128,22,5,0.0003152090357616544
msmarco-passage-trec-dl-2019,915593,grouped-blocker64,512,512,256,256,46,9,0.0006834180094301701
msmarco-passage-trec-dl-2019,915593,grouped-blocker64,1024,768,448,320,100,13,0.0011862509418278933
msmarco-passage-trec-dl-2019,915593,grouped-blocker64,2048,768,448,320,100,13,0.0011865010019391775
msmarco-passage-trec-dl-2019,130510,grouped-unit,128,128,72,56,22,129,0.0008979580597952008
msmarco-passage-trec-dl-2019,130510,grouped-unit,256,256,159,97,26,257,0.0016926671378314495
msmarco-passage-trec-dl-2019,130510,grouped-unit,512,512,341,171,30,513,0.003493000171147287
msmarco-passage-trec-dl-2019,130510,grouped-unit,1024,1024,757,267,32,1025,0.00715033314190805
msmarco-passage-trec-dl-2019,130510,grouped-unit,2048,2048,1692,356,33,2049,0.01448283321224153
msmarco-passage-trec-dl-2019,130510,grouped-blocker64,128,128,64,64,22,3,0.00023841694928705692
msmarco-passage-trec-dl-2019,130510,grouped-blocker64,256,256,128,128,25,5,0.0003748750314116478
msmarco-passage-trec-dl-2019,130510,grouped-blocker64,512,512,320,192,29,9,0.0006533750565722585
msmarco-passage-trec-dl-2019,130510,grouped-blocker64,1024,1024,704,320,32,17,0.0012051250087097287
msmarco-passage-trec-dl-2019,130510,grouped-blocker64,2048,2048,1664,384,33,33,0.00224004196934402
msmarco-passage-trec-dl-2019,207786,grouped-unit,128,128,58,70,11,129,0.0007539590587839484
msmarco-passage-trec-dl-2019,207786,grouped-unit,256,256,106,150,18,257,0.001643541967496276
msmarco-passage-trec-dl-2019,207786,grouped-unit,512,512,236,276,25,513,0.003351000021211803
msmarco-passage-trec-dl-2019,207786,grouped-unit,1024,1024,448,576,30,1025,0.0069040830712765455
msmarco-passage-trec-dl-2019,207786,grouped-unit,2048,2048,631,1417,35,2049,0.014560125069692731
msmarco-passage-trec-dl-2019,207786,grouped-blocker64,128,128,64,64,11,3,0.00017433299217373133
msmarco-passage-trec-dl-2019,207786,grouped-blocker64,256,256,128,128,18,5,0.0003312489716336131
msmarco-passage-trec-dl-2019,207786,grouped-blocker64,512,512,192,320,23,9,0.0005957909161224961
msmarco-passage-trec-dl-2019,207786,grouped-blocker64,1024,1024,448,576,30,17,0.0011382908560335636
msmarco-passage-trec-dl-2019,207786,grouped-blocker64,2048,2048,640,1408,35,33,0.0022178739309310913
msmarco-passage-trec-dl-2019,1106007,grouped-unit,128,128,66,62,7,129,0.0007380000315606594
msmarco-passage-trec-dl-2019,1106007,grouped-unit,256,256,133,123,12,257,0.001659583067521453
msmarco-passage-trec-dl-2019,1106007,grouped-unit,512,512,218,294,17,513,0.0034330410417169333
msmarco-passage-trec-dl-2019,1106007,grouped-unit,1024,1024,392,632,21,1025,0.007074124063365161
msmarco-passage-trec-dl-2019,1106007,grouped-unit,2048,2048,1230,818,33,2049,0.01479658205062151
msmarco-passage-trec-dl-2019,1106007,grouped-blocker64,128,128,64,64,6,3,0.00015937502030283213
msmarco-passage-trec-dl-2019,1106007,grouped-blocker64,256,256,128,128,10,5,0.000311249983496964
msmarco-passage-trec-dl-2019,1106007,grouped-blocker64,512,512,256,256,17,9,0.0005996250547468662
msmarco-passage-trec-dl-2019,1106007,grouped-blocker64,1024,1024,384,640,21,17,0.0011263750493526459
msmarco-passage-trec-dl-2019,1106007,grouped-blocker64,2048,2048,1216,832,33,33,0.002254290971904993
msmarco-passage-trec-dl-2020,1109707,grouped-unit,128,128,66,62,3,129,0.000701958080753684
msmarco-passage-trec-dl-2020,1109707,grouped-unit,256,256,133,123,6,257,0.001576875103637576
msmarco-passage-trec-dl-2020,1109707,grouped-unit,512,512,244,268,22,513,0.0033829580061137676
msmarco-passage-trec-dl-2020,1109707,grouped-unit,1024,1024,556,468,29,1025,0.006981125101447105
msmarco-passage-trec-dl-2020,1109707,grouped-unit,2048,2048,1253,795,41,2049,0.014881792129017413
msmarco-passage-trec-dl-2020,1109707,grouped-blocker64,128,128,64,64,3,3,0.00014566699974238873
msmarco-passage-trec-dl-2020,1109707,grouped-blocker64,256,256,128,128,6,5,0.00029070908203721046
msmarco-passage-trec-dl-2020,1109707,grouped-blocker64,512,512,256,256,22,9,0.0006290421588346362
msmarco-passage-trec-dl-2020,1109707,grouped-blocker64,1024,1024,512,512,28,17,0.0011645011836662889
msmarco-passage-trec-dl-2020,1109707,grouped-blocker64,2048,2048,1216,832,40,33,0.002328626113012433
msmarco-passage-trec-dl-2020,390360,grouped-unit,128,128,62,66,6,129,0.0006976670119911432
msmarco-passage-trec-dl-2020,390360,grouped-unit,256,256,128,128,8,257,0.001584584009833634
msmarco-passage-trec-dl-2020,390360,grouped-unit,512,512,198,314,10,513,0.0033930419012904167
msmarco-passage-trec-dl-2020,390360,grouped-unit,1024,1024,334,690,13,1025,0.006633958895690739
msmarco-passage-trec-dl-2020,390360,grouped-unit,2048,2048,489,1559,14,2049,0.014262083917856216
msmarco-passage-trec-dl-2020,390360,grouped-blocker64,128,128,64,64,6,3,0.00015495799016207457
msmarco-passage-trec-dl-2020,390360,grouped-blocker64,256,256,128,128,8,5,0.0003162079956382513
msmarco-passage-trec-dl-2020,390360,grouped-blocker64,512,512,192,320,10,9,0.0005876669893041253
msmarco-passage-trec-dl-2020,390360,grouped-blocker64,1024,1024,320,704,13,17,0.0011343760415911674
msmarco-passage-trec-dl-2020,390360,grouped-blocker64,2048,2048,512,1536,14,33,0.0022181260865181684
msmarco-passage-trec-dl-2020,1121353,grouped-unit,128,128,60,68,5,129,0.000708041014149785
msmarco-passage-trec-dl-2020,1121353,grouped-unit,256,256,119,137,5,257,0.001575623988173902
msmarco-passage-trec-dl-2020,1121353,grouped-unit,512,512,229,283,6,513,0.003283581929281354
msmarco-passage-trec-dl-2020,1121353,grouped-unit,1024,1024,470,554,12,1025,0.006843957002274692
msmarco-passage-trec-dl-2020,1121353,grouped-unit,2048,2048,1171,877,17,2049,0.014598165987990797
msmarco-passage-trec-dl-2020,1121353,grouped-blocker64,128,128,64,64,5,3,0.00014650006778538227
msmarco-passage-trec-dl-2020,1121353,grouped-blocker64,256,256,128,128,5,5,0.00027291709557175636
msmarco-passage-trec-dl-2020,1121353,grouped-blocker64,512,512,256,256,6,9,0.0005750830750912428
msmarco-passage-trec-dl-2020,1121353,grouped-blocker64,1024,1024,448,576,12,17,0.0011134580709040165
msmarco-passage-trec-dl-2020,1121353,grouped-blocker64,2048,2048,1152,896,17,33,0.003869541105814278
msmarco-passage-trec-dl-2020,1122767,grouped-unit,128,128,72,56,14,129,0.0008507499005645514
msmarco-passage-trec-dl-2020,1122767,grouped-unit,256,256,124,132,28,257,0.0017324169166386127
msmarco-passage-trec-dl-2020,1122767,grouped-unit,512,512,244,268,35,513,0.003558291937224567
msmarco-passage-trec-dl-2020,1122767,grouped-unit,1024,1024,474,550,42,1025,0.007288416964001954
msmarco-passage-trec-dl-2020,1122767,grouped-unit,2048,2048,889,1159,44,2049,0.014927291893400252
msmarco-passage-trec-dl-2020,1122767,grouped-blocker64,128,128,64,64,14,3,0.000186417018994689
msmarco-passage-trec-dl-2020,1122767,grouped-blocker64,256,256,128,128,28,5,0.00036616704892367125
msmarco-passage-trec-dl-2020,1122767,grouped-blocker64,512,512,256,256,34,9,0.0006655420875176787
msmarco-passage-trec-dl-2020,1122767,grouped-blocker64,1024,1024,448,576,41,17,0.0011695841094478965
msmarco-passage-trec-dl-2020,1122767,grouped-blocker64,2048,2048,896,1152,44,33,0.0022775420220568776
msmarco-passage-trec-dl-2020,940547,grouped-unit,128,128,64,64,6,129,0.0007272079819813371
msmarco-passage-trec-dl-2020,940547,grouped-unit,256,256,137,119,14,257,0.0016542079392820597
msmarco-passage-trec-dl-2020,940547,grouped-unit,512,512,283,229,19,513,0.0033707909751683474
msmarco-passage-trec-dl-2020,940547,grouped-unit,1024,1024,598,426,27,1025,0.007044290890917182
msmarco-passage-trec-dl-2020,940547,grouped-unit,2048,2048,1317,731,27,2049,0.014702873886562884
msmarco-passage-trec-dl-2020,940547,grouped-blocker64,128,128,64,64,6,3,0.0001503749517723918
msmarco-passage-trec-dl-2020,940547,grouped-blocker64,256,256,128,128,13,5,0.00030387495644390583
msmarco-passage-trec-dl-2020,940547,grouped-blocker64,512,512,256,256,19,9,0.00057283288333565
msmarco-passage-trec-dl-2020,940547,grouped-blocker64,1024,1024,576,448,26,17,0.0010914579033851624
msmarco-passage-trec-dl-2020,940547,grouped-blocker64,2048,2048,1280,768,27,33,0.0021647908724844456
msmarco-passage-trec-dl-2020,1108651,grouped-unit,128,128,66,62,3,129,0.0006519999587908387
msmarco-passage-trec-dl-2020,1108651,grouped-unit,256,256,132,124,6,257,0.0015096248826012015
msmarco-passage-trec-dl-2020,1108651,grouped-unit,512,512,269,243,9,513,0.003265374922193587
msmarco-passage-trec-dl-2020,1108651,grouped-unit,1024,1024,554,470,15,1025,0.006894499878399074
msmarco-passage-trec-dl-2020,1108651,grouped-unit,2048,2048,1286,762,21,2049,0.01445295789744705
msmarco-passage-trec-dl-2020,1108651,grouped-blocker64,128,128,64,64,3,3,0.00013529101852327585
msmarco-passage-trec-dl-2020,1108651,grouped-blocker64,256,256,128,128,6,5,0.0002781250514090061
msmarco-passage-trec-dl-2020,1108651,grouped-blocker64,512,512,256,256,9,9,0.000533167039975524
msmarco-passage-trec-dl-2020,1108651,grouped-blocker64,1024,1024,576,448,14,17,0.0010363340843468904
msmarco-passage-trec-dl-2020,1108651,grouped-blocker64,2048,2048,1280,768,21,33,0.002187043079175055
msmarco-passage-trec-dl-2020,1106979,grouped-unit,128,128,77,51,25,129,0.0008499999530613422
msmarco-passage-trec-dl-2020,1106979,grouped-unit,256,256,173,83,30,257,0.0016280419658869505
msmarco-passage-trec-dl-2020,1106979,grouped-unit,512,512,377,135,34,513,0.0033716248581185937
msmarco-passage-trec-dl-2020,1106979,grouped-unit,1024,1024,833,191,39,1025,0.006918666884303093
msmarco-passage-trec-dl-2020,1106979,grouped-unit,2048,2048,1813,235,41,2049,0.01431670889724046
msmarco-passage-trec-dl-2020,1106979,grouped-blocker64,128,128,64,64,23,3,0.000228708959184587
msmarco-passage-trec-dl-2020,1106979,grouped-blocker64,256,256,128,128,30,5,0.0003694589249789715
msmarco-passage-trec-dl-2020,1106979,grouped-blocker64,512,512,384,128,34,9,0.0006244588876143098
msmarco-passage-trec-dl-2020,1106979,grouped-blocker64,1024,1024,832,192,39,17,0.0011021668324247003
msmarco-passage-trec-dl-2020,1106979,grouped-blocker64,2048,2048,1792,256,41,33,0.002149999840185046
msmarco-passage-trec-dl-2020,1136962,grouped-unit,128,128,73,55,25,129,0.0009437090484425426
