budget,cap,method,actual_reads,returned,empty,has10,exact10,position_agreement10,top10_set_same_order_diff,ndcg10,recall
512,20,fixed_topL_zero,512,20,0,1,0.7666666666666666,0.9026666666666667,0.02,0.7276525770008494,0.05845666970236148
512,100,balanced_cert,512,14.433333333333334,0,0.64,0.64,0.8386666666666667,0,0.6748824956644431,0.05312461352094926
512,100,balanced_zero,512,100,0,1,0.7666666666666666,0.9026666666666667,0.02,0.7276525770008494,0.17484321390705487
512,100,blocker_cert,512,14.946666666666667,0,0.64,0.64,0.8393333333333334,0,0.6753715884784388,0.0547146455231576
512,100,blocker_zero,512,100,0,1,0.7666666666666666,0.9026666666666667,0.02,0.7276525770008494,0.17486487386695423
512,100,fixed_topL_zero,512,100,0,1,0.7666666666666666,0.9026666666666667,0.02,0.7276525770008494,0.17484321390705487
1024,20,balanced_cert,1024,14.88,0,0.78,0.78,0.9073333333333333,0,0.7003480999941455,0.05033312037596522
1024,20,balanced_zero,1024,20,0,1,0.8533333333333334,0.946,0.013333333333333332,0.7248894078653624,0.058526028359146304
1024,20,blocker_cert,1024,15.073333333333334,0,0.8,0.8,0.914,0,0.702628730544591,0.05070178373379307
1024,20,blocker_zero,1024,20,0,1,0.8533333333333334,0.9453333333333334,0.013333333333333332,0.7250707315378943,0.05857746880086192
1024,20,fixed_topL_zero,1024,20,0,1,0.8533333333333334,0.946,0.013333333333333332,0.7248894078653624,0.058526028359146304
1024,100,balanced_cert,1024,20.12,0,0.78,0.78,0.9073333333333333,0,0.7003480999941455,0.06775013237310995
1024,100,balanced_zero,1024,100,0,1,0.8533333333333334,0.946,0.013333333333333332,0.7248894078653624,0.1778808962643154
1024,100,blocker_cert,1024,20.946666666666665,0,0.8,0.8,0.914,0,0.702628730544591,0.06968817759662467
1024,100,blocker_zero,1024,100,0,1,0.8533333333333334,0.9453333333333334,0.013333333333333332,0.7250707315378943,0.17822731820102128
1024,100,fixed_topL_zero,1024,100,0,1,0.8533333333333334,0.946,0.013333333333333332,0.7248894078653624,0.1778808962643154
2048,20,balanced_cert,2048,16.213333333333335,0,0.8533333333333334,0.8533333333333334,0.9433333333333334,0,0.7131825846284283,0.05326485217432571
2048,20,balanced_zero,2048,20,0,1,0.9266666666666666,0.9753333333333334,0.026666666666666665,0.7246389182856795,0.05858456862846451
2048,20,blocker_cert,2048,16.513333333333335,0,0.8733333333333334,0.8733333333333334,0.95,0,0.7157787677833167,0.05384652180895319
2048,20,blocker_zero,2048,20,0,1,0.9400000000000001,0.9773333333333333,0.02,0.7263776451043517,0.058651243516449056
2048,20,fixed_topL_zero,2048,20,0,1,0.9266666666666666,0.9753333333333334,0.026666666666666665,0.7246389182856795,0.05858456862846451
2048,100,balanced_cert,2048,24.893333333333334,0,0.8533333333333334,0.8533333333333334,0.9433333333333334,0,0.7131825846284283,0.07896797546692867
2048,100,balanced_zero,2048,100,0,1,0.9266666666666666,0.9753333333333334,0.026666666666666665,0.7246389182856795,0.17872485534815188
2048,100,blocker_cert,2048,26.740000000000002,0,0.8733333333333334,0.8733333333333334,0.95,0,0.7157787677833167,0.08296834410532788
2048,100,blocker_zero,2048,100,0,1,0.9400000000000001,0.9773333333333333,0.02,0.7263776451043517,0.17828299771485423
2048,100,fixed_topL_zero,2048,100,0,1,0.9266666666666666,0.9753333333333334,0.026666666666666665,0.7246389182856795,0.17872485534815188
4096,20,balanced_cert,4096,17.313333333333333,0,0.9,0.9,0.964,0,0.7196055621705407,0.05517262894064995
4096,20,balanced_zero,4096,20,0,1,0.9466666666666667,0.9826666666666667,0.03333333333333333,0.7273769267159699,0.058762356534181194
4096,20,blocker_cert,4096,17.56,0,0.9133333333333333,0.9133333333333333,0.9673333333333334,0,0.7211359599897453,0.05563953413915549
4096,20,blocker_zero,4096,20,0,1,0.9466666666666667,0.9846666666666667,0.03333333333333333,0.7274595275143667,0.05869048518440378
4096,20,fixed_topL_zero,4096,20,0,1,0.9466666666666667,0.9826666666666667,0.03333333333333333,0.7273769267159699,0.058762356534181194
4096,100,balanced_cert,4096,31.36,0,0.9,0.9,0.964,0,0.7196055621705407,0.09114773661745405
4096,100,balanced_zero,4096,100,0,1,0.9466666666666667,0.9826666666666667,0.03333333333333333,0.7273769267159699,0.17853480975393413
4096,100,blocker_cert,4096,34.93333333333334,0,0.9133333333333333,0.9133333333333333,0.9673333333333334,0,0.7211359599897453,0.0983479799910508
4096,100,blocker_zero,4096,100,0,1,0.9466666666666667,0.9846666666666667,0.03333333333333333,0.7274595275143667,0.17819848980875652
4096,100,fixed_topL_zero,4096,100,0,1,0.9466666666666667,0.9826666666666667,0.03333333333333333,0.7273769267159699,0.17853480975393413
8192,20,balanced_cert,8192,18.106666666666666,0,0.9400000000000001,0.9400000000000001,0.976,0,0.7219035971101347,0.05638386413435751
8192,20,balanced_zero,8192,20,0,1,0.9533333333333334,0.99,0.03333333333333333,0.7269685808833842,0.058920772480742616
8192,20,blocker_cert,8192,18.34,0,0.9466666666666667,0.9466666666666667,0.9786666666666667,0,0.7220578887144388,0.056536308167219454
8192,20,blocker_zero,8192,20,0,1,0.96,0.992,0.026666666666666665,0.7269440422193675,0.05884501490498504
8192,20,fixed_topL_zero,8192,20,0,1,0.9533333333333334,0.99,0.03333333333333333,0.7269685808833842,0.058920772480742616
8192,100,balanced_cert,8192,41.43333333333333,0,0.9400000000000001,0.9400000000000001,0.976,0,0.7219035971101347,0.10942821134044711
8192,100,balanced_zero,8192,100,0,1,0.9533333333333334,0.99,0.03333333333333333,0.7269685808833842,0.17860706261237966
8192,100,blocker_cert,8192,43.53333333333333,0,0.9466666666666667,0.9466666666666667,0.9786666666666667,0,0.7220578887144388,0.11242668882207524
8192,100,blocker_zero,8192,100,0,1,0.96,0.992,0.026666666666666665,0.7269440422193675,0.17870929821192658
