dataset,budget,cap,method,queries,actual_reads,returned,empty,has10,exact10,position_agreement10,top10_set_same_order_diff,ndcg10,recall
trec-covid-chrono-r2,256,100,blocker_zero,30,256,100,0,1,0.7,0.87,0,0.684066779664236,0.21996208551490298
trec-covid-chrono-r2,256,100,fixed_topL_zero,30,256,100,0,1,0.7,0.87,0,0.684066779664236,0.21996208551490298
trec-covid-chrono-r2,512,20,balanced_cert,30,512,13.3,0,0.7333333333333333,0.7333333333333333,0.8833333333333333,0,0.6562149837584977,0.05794101212901209
trec-covid-chrono-r2,512,20,balanced_zero,30,512,20,0,1,0.8333333333333334,0.9233333333333333,0,0.6797920842255595,0.07254713858914087
trec-covid-chrono-r2,512,20,blocker_cert,30,512,13.3,0,0.7333333333333333,0.7333333333333333,0.8833333333333333,0,0.6562149837584977,0.05794101212901209
trec-covid-chrono-r2,512,20,blocker_zero,30,512,20,0,1,0.8333333333333334,0.9233333333333333,0,0.6797920842255595,0.07254713858914087
trec-covid-chrono-r2,512,20,fixed_topL_zero,30,512,20,0,1,0.8333333333333334,0.9233333333333333,0,0.6797920842255595,0.07254713858914087
trec-covid-chrono-r2,512,100,balanced_cert,30,512,15.833333333333334,0,0.7333333333333333,0.7333333333333333,0.8833333333333333,0,0.6562149837584977,0.06928371846045792
trec-covid-chrono-r2,512,100,balanced_zero,30,512,100,0,1,0.8333333333333334,0.9233333333333333,0,0.6797920842255595,0.22445845713878976
trec-covid-chrono-r2,512,100,blocker_cert,30,512,16.033333333333335,0,0.7333333333333333,0.7333333333333333,0.8833333333333333,0,0.6562149837584977,0.07060717140047354
trec-covid-chrono-r2,512,100,blocker_zero,30,512,100,0,1,0.8333333333333334,0.9233333333333333,0,0.6797920842255595,0.22410921379591586
trec-covid-chrono-r2,512,100,fixed_topL_zero,30,512,100,0,1,0.8333333333333334,0.9233333333333333,0,0.6797920842255595,0.22445845713878976
trec-covid-chrono-r2,1024,20,balanced_cert,30,1024,15.566666666666666,0,0.8333333333333334,0.8333333333333334,0.93,0,0.6665334012446769,0.06424195443017587
trec-covid-chrono-r2,1024,20,balanced_zero,30,1024,20,0,1,0.8666666666666667,0.9466666666666667,0,0.6837645525883469,0.07410834743197361
trec-covid-chrono-r2,1024,20,blocker_cert,30,1024,15.766666666666667,0,0.8666666666666667,0.8666666666666667,0.9366666666666666,0,0.6710995582546206,0.06493226539742056
trec-covid-chrono-r2,1024,20,blocker_zero,30,1024,20,0,1,0.8666666666666667,0.9466666666666667,0,0.6838936733380763,0.07430676013038631
trec-covid-chrono-r2,1024,20,fixed_topL_zero,30,1024,20,0,1,0.8666666666666667,0.9466666666666667,0,0.6837645525883469,0.07410834743197361
trec-covid-chrono-r2,1024,100,balanced_cert,30,1024,21.633333333333333,0,0.8333333333333334,0.8333333333333334,0.93,0,0.6665334012446769,0.09005457143256942
trec-covid-chrono-r2,1024,100,balanced_zero,30,1024,100,0,1,0.8666666666666667,0.9466666666666667,0,0.6837645525883469,0.22788590291332075
trec-covid-chrono-r2,1024,100,blocker_cert,30,1024,22.733333333333334,0,0.8666666666666667,0.8666666666666667,0.9366666666666666,0,0.6710995582546206,0.09393831078691516
trec-covid-chrono-r2,1024,100,blocker_zero,30,1024,100,0,1,0.8666666666666667,0.9466666666666667,0,0.6838936733380763,0.22735600797869918
trec-covid-chrono-r2,1024,100,fixed_topL_zero,30,1024,100,0,1,0.8666666666666667,0.9466666666666667,0,0.6837645525883469,0.22788590291332075
trec-covid-chrono-r2,2048,20,balanced_cert,30,2048,17.2,0,0.9,0.9,0.96,0,0.6786436781455404,0.0690219782605996
trec-covid-chrono-r2,2048,20,balanced_zero,30,2048,20,0,1,0.9333333333333333,0.9833333333333333,0.03333333333333333,0.68264755393903,0.07451254800140425
trec-covid-chrono-r2,2048,20,blocker_cert,30,2048,17.533333333333335,0,0.9,0.9,0.96,0,0.6786436781455404,0.06988707289613368
trec-covid-chrono-r2,2048,20,blocker_zero,30,2048,20,0,1,0.9333333333333333,0.9833333333333333,0.03333333333333333,0.68264755393903,0.07488291837177462
trec-covid-chrono-r2,2048,20,fixed_topL_zero,30,2048,20,0,1,0.9333333333333333,0.9833333333333333,0.03333333333333333,0.68264755393903,0.07451254800140425
trec-covid-chrono-r2,2048,100,balanced_cert,30,2048,27.933333333333334,0,0.9,0.9,0.96,0,0.6786436781455404,0.1105644421890657
trec-covid-chrono-r2,2048,100,balanced_zero,30,2048,100,0,1,0.9333333333333333,0.9833333333333333,0.03333333333333333,0.68264755393903,0.22850084060443465
trec-covid-chrono-r2,2048,100,blocker_cert,30,2048,30.1,0,0.9,0.9,0.96,0,0.6786436781455404,0.11588196911275667
trec-covid-chrono-r2,2048,100,blocker_zero,30,2048,100,0,1,0.9333333333333333,0.9833333333333333,0.03333333333333333,0.68264755393903,0.2272398645826492
trec-covid-chrono-r2,2048,100,fixed_topL_zero,30,2048,100,0,1,0.9333333333333333,0.9833333333333333,0.03333333333333333,0.68264755393903,0.22850084060443465
trec-covid-chrono-r2,4096,20,balanced_cert,30,4096,18.166666666666668,0,0.9,0.9,0.9666666666666667,0,0.679696882194091,0.07114022306187652
trec-covid-chrono-r2,4096,20,balanced_zero,30,4096,20,0,1,0.9333333333333333,0.9833333333333333,0.03333333333333333,0.68264755393903,0.07491884634688549
trec-covid-chrono-r2,4096,20,blocker_cert,30,4096,18.366666666666667,0,0.9333333333333333,0.9333333333333333,0.9733333333333334,0,0.6804683402156108,0.07200087359233837
trec-covid-chrono-r2,4096,20,blocker_zero,30,4096,20,0,1,0.9333333333333333,0.99,0.03333333333333333,0.6826828539221675,0.07466439342067684
trec-covid-chrono-r2,4096,20,fixed_topL_zero,30,4096,20,0,1,0.9333333333333333,0.9833333333333333,0.03333333333333333,0.68264755393903,0.07491884634688549
trec-covid-chrono-r2,4096,100,balanced_cert,30,4096,33.43333333333333,0,0.9,0.9,0.9666666666666667,0,0.679696882194091,0.12314922198285105
trec-covid-chrono-r2,4096,100,balanced_zero,30,4096,100,0,1,0.9333333333333333,0.9833333333333333,0.03333333333333333,0.68264755393903,0.22751358213144515
trec-covid-chrono-r2,4096,100,blocker_cert,30,4096,36.96666666666667,0,0.9333333333333333,0.9333333333333333,0.9733333333333334,0,0.6804683402156108,0.13085037882371153
trec-covid-chrono-r2,4096,100,blocker_zero,30,4096,100,0,1,0.9333333333333333,0.99,0.03333333333333333,0.6826828539221675,0.2263368235405807
trec-covid-chrono-r2,4096,100,fixed_topL_zero,30,4096,100,0,1,0.9333333333333333,0.9833333333333333,0.03333333333333333,0.68264755393903,0.22751358213144515
trec-covid-chrono-r2,8192,20,balanced_cert,30,8192,18.666666666666668,0,0.9666666666666667,0.9666666666666667,0.98,0,0.6804683402156108,0.07235886855738315
trec-covid-chrono-r2,8192,20,balanced_zero,30,8192,20,0,1,0.9666666666666667,0.9933333333333333,0.03333333333333333,0.6819759562755126,0.07491884634688549
trec-covid-chrono-r2,8192,20,blocker_cert,30,8192,18.866666666666667,0,0.9666666666666667,0.9666666666666667,0.9833333333333333,0,0.6804683402156108,0.07242860356435665
trec-covid-chrono-r2,8192,20,blocker_zero,30,8192,20,0,1,0.9666666666666667,0.9933333333333333,0.03333333333333333,0.6819759562755126,0.07491884634688549
trec-covid-chrono-r2,8192,20,fixed_topL_zero,30,8192,20,0,1,0.9666666666666667,0.9933333333333333,0.03333333333333333,0.6819759562755126,0.07491884634688549
trec-covid-chrono-r2,8192,100,balanced_cert,30,8192,40.43333333333333,0,0.9666666666666667,0.9666666666666667,0.98,0,0.6804683402156108,0.13865129821975652
trec-covid-chrono-r2,8192,100,balanced_zero,30,8192,100,0,1,0.9666666666666667,0.9933333333333333,0.03333333333333333,0.6819759562755126,0.22778301396084388
trec-covid-chrono-r2,8192,100,blocker_cert,30,8192,43.53333333333333,0,0.9666666666666667,0.9666666666666667,0.9833333333333333,0,0.6804683402156108,0.14487314715477748
trec-covid-chrono-r2,8192,100,blocker_zero,30,8192,100,0,1,0.9666666666666667,0.9933333333333333,0.03333333333333333,0.6819759562755126,0.2281237516778445
trec-covid-chrono-r2,8192,100,fixed_topL_zero,30,8192,100,0,1,0.9666666666666667,0.9933333333333333,0.03333333333333333,0.6819759562755126,0.22778301396084388
trec-covid-chrono-r2,10000,20,balanced_cert,30,10000,18.9,0,0.9666666666666667,0.9666666666666667,0.9833333333333333,0,0.6804683402156108,0.07242860356435665
trec-covid-chrono-r2,10000,20,balanced_zero,30,10000,20,0,1,0.9666666666666667,0.9933333333333333,0.03333333333333333,0.6819759562755126,0.07491884634688549
trec-covid-chrono-r2,10000,20,blocker_cert,30,10000,18.9,0,0.9666666666666667,0.9666666666666667,0.9833333333333333,0,0.6804683402156108,0.07242860356435665
trec-covid-chrono-r2,10000,20,blocker_zero,30,10000,20,0,1,0.9666666666666667,0.9933333333333333,0.03333333333333333,0.6819759562755126,0.07491884634688549
trec-covid-chrono-r2,10000,20,fixed_topL_zero,30,10000,20,0,1,0.9666666666666667,0.9933333333333333,0.03333333333333333,0.6819759562755126,0.07491884634688549
trec-covid-chrono-r2,10000,100,balanced_cert,30,10000,45.63333333333333,0,0.9666666666666667,0.9666666666666667,0.9833333333333333,0,0.6804683402156108,0.15302185958262415
trec-covid-chrono-r2,10000,100,balanced_zero,30,10000,100,0,1,0.9666666666666667,0.9933333333333333,0.03333333333333333,0.6819759562755126,0.22821014118016716
trec-covid-chrono-r2,10000,100,blocker_cert,30,10000,45.63333333333333,0,0.9666666666666667,0.9666666666666667,0.9833333333333333,0,0.6804683402156108,0.15302185958262415
trec-covid-chrono-r2,10000,100,blocker_zero,30,10000,100,0,1,0.9666666666666667,0.9933333333333333,0.03333333333333333,0.6819759562755126,0.22821014118016716
trec-covid-chrono-r2,10000,100,fixed_topL_zero,30,10000,100,0,1,0.9666666666666667,0.9933333333333333,0.03333333333333333,0.6819759562755126,0.22821014118016716
trec-covid-chrono-r3,128,20,balanced_cert,30,128,5.3,0.03333333333333333,0.16666666666666666,0.16666666666666666,0.5133333333333333,0,0.5035682116378247,0.015453865935137414
trec-covid-chrono-r3,128,20,balanced_zero,30,128,20,0,1,0.26666666666666666,0.6633333333333333,0,0.7134391909059871,0.042433570788167584
trec-covid-chrono-r3,128,20,blocker_cert,30,128,5.3,0.03333333333333333,0.16666666666666666,0.16666666666666666,0.5133333333333333,0,0.5035682116378247,0.015453865935137414
trec-covid-chrono-r3,128,20,blocker_zero,30,128,20,0,1,0.26666666666666666,0.6633333333333333,0,0.7134391909059871,0.042433570788167584
trec-covid-chrono-r3,128,20,fixed_topL_zero,30,128,20,0,1,0.26666666666666666,0.6633333333333333,0,0.7134391909059871,0.042433570788167584
trec-covid-chrono-r3,128,100,balanced_cert,30,128,5.3,0.03333333333333333,0.16666666666666666,0.16666666666666666,0.5133333333333333,0,0.5035682116378247,0.015453865935137414
trec-covid-chrono-r3,128,100,balanced_zero,30,128,99.76666666666667,0,1,0.26666666666666666,0.6633333333333333,0,0.7134391909059871,0.13972582921752083
trec-covid-chrono-r3,128,100,blocker_cert,30,128,5.3,0.03333333333333333,0.16666666666666666,0.16666666666666666,0.5133333333333333,0,0.5035682116378247,0.015453865935137414
trec-covid-chrono-r3,128,100,blocker_zero,30,128,99.76666666666667,0,1,0.26666666666666666,0.6633333333333333,0,0.7134391909059871,0.13972582921752083
