dataset,query_id,budget,cap,method,dense_depth,sparse_depth,actual_reads,candidates,returned,empty,has10,exact10,position_agreement10,top10_set_same_order_diff,ndcg10,recall
trec-covid-chrono-r1,2,128,20,blocker_zero,64,64,128,125,20,0,1,0,0.3,0,0.5771493379489847,0.09090909090909091
trec-covid-chrono-r1,2,128,100,blocker_zero,64,64,128,125,100,0,1,0,0.3,0,0.5771493379489847,0.2727272727272727
trec-covid-chrono-r1,2,128,20,blocker_cert,64,64,128,125,2,0,0,0,0.2,0,0.3589542101716347,0.022727272727272728
trec-covid-chrono-r1,2,128,100,blocker_cert,64,64,128,125,2,0,0,0,0.2,0,0.3589542101716347,0.022727272727272728
trec-covid-chrono-r1,2,256,20,fixed_topL_zero,128,128,256,248,20,0,1,0,0.3,0,0.5036067026046991,0.10227272727272728
trec-covid-chrono-r1,2,256,100,fixed_topL_zero,128,128,256,248,100,0,1,0,0.3,0,0.5036067026046991,0.2840909090909091
trec-covid-chrono-r1,2,256,20,balanced_zero,128,128,256,248,20,0,1,0,0.3,0,0.5036067026046991,0.10227272727272728
trec-covid-chrono-r1,2,256,100,balanced_zero,128,128,256,248,100,0,1,0,0.3,0,0.5036067026046991,0.2840909090909091
trec-covid-chrono-r1,2,256,20,balanced_cert,128,128,256,248,3,0,0,0,0.3,0,0.3589542101716347,0.022727272727272728
trec-covid-chrono-r1,2,256,100,balanced_cert,128,128,256,248,3,0,0,0,0.3,0,0.3589542101716347,0.022727272727272728
trec-covid-chrono-r1,2,256,20,blocker_zero,128,128,256,248,20,0,1,0,0.3,0,0.5036067026046991,0.10227272727272728
trec-covid-chrono-r1,2,256,100,blocker_zero,128,128,256,248,100,0,1,0,0.3,0,0.5036067026046991,0.2840909090909091
trec-covid-chrono-r1,2,256,20,blocker_cert,128,128,256,248,3,0,0,0,0.3,0,0.3589542101716347,0.022727272727272728
trec-covid-chrono-r1,2,256,100,blocker_cert,128,128,256,248,3,0,0,0,0.3,0,0.3589542101716347,0.022727272727272728
trec-covid-chrono-r1,2,512,20,fixed_topL_zero,256,256,512,483,20,0,1,0,0.7,1,0.6344496704458089,0.10227272727272728
trec-covid-chrono-r1,2,512,100,fixed_topL_zero,256,256,512,483,100,0,1,0,0.7,1,0.6344496704458089,0.3068181818181818
trec-covid-chrono-r1,2,512,20,balanced_zero,256,256,512,483,20,0,1,0,0.7,1,0.6344496704458089,0.10227272727272728
trec-covid-chrono-r1,2,512,100,balanced_zero,256,256,512,483,100,0,1,0,0.7,1,0.6344496704458089,0.3068181818181818
trec-covid-chrono-r1,2,512,20,balanced_cert,256,256,512,483,4,0,0,0,0.4,0,0.4537425745411855,0.03409090909090909
trec-covid-chrono-r1,2,512,100,balanced_cert,256,256,512,483,4,0,0,0,0.4,0,0.4537425745411855,0.03409090909090909
trec-covid-chrono-r1,2,512,20,blocker_zero,256,256,512,483,20,0,1,0,0.7,1,0.6344496704458089,0.10227272727272728
trec-covid-chrono-r1,2,512,100,blocker_zero,256,256,512,483,100,0,1,0,0.7,1,0.6344496704458089,0.3068181818181818
trec-covid-chrono-r1,2,512,20,blocker_cert,256,256,512,483,4,0,0,0,0.4,0,0.4537425745411855,0.03409090909090909
trec-covid-chrono-r1,2,512,100,blocker_cert,256,256,512,483,4,0,0,0,0.4,0,0.4537425745411855,0.03409090909090909
