dataset,query_id,policy,budget,reads,dense,sparse,k100,k20,certificate_calls,replay_seconds,schedule_seconds
msmarco-passage-trec-dl-2019,87452,handoff,256,256,129,127,24,20,5,0.0004419999895617366,5.6875054724514484e-05
msmarco-passage-trec-dl-2019,87452,handoff,512,512,278,234,28,20,184,0.03237779205664992,0.004243925446644425
msmarco-passage-trec-dl-2019,87452,handoff,1024,1024,616,408,35,20,535,0.10073950001969934,0.013155173743143678
msmarco-passage-trec-dl-2019,87452,handoff,2048,2048,791,1257,47,20,701,0.13629995798692107,0.01784832903649658
msmarco-passage-trec-dl-2019,87452,certificate-event,128,128,1,127,0,0,3,0.00014816701877862215,1.6498961485922337e-05
msmarco-passage-trec-dl-2019,87452,certificate-event,256,256,129,127,24,20,5,0.00039229204412549734,3.433192614465952e-05
msmarco-passage-trec-dl-2019,87452,certificate-event,512,512,275,237,28,20,13,0.0018245000392198563,0.0001340819289907813
msmarco-passage-trec-dl-2019,87452,certificate-event,1024,1024,621,403,35,20,26,0.004274583072401583,0.00031466467771679163
msmarco-passage-trec-dl-2019,87452,certificate-event,2048,2048,856,1192,47,20,42,0.007762167020700872,0.0005609135841950774
msmarco-passage-trec-dl-2019,87452,balanced64,128,128,64,64,14,14,3,0.00024783401750028133,1.7920974642038345e-06
msmarco-passage-trec-dl-2019,87452,balanced64,256,256,128,128,24,20,5,0.0005655010463669896,2.5010667741298676e-06
