dataset,query_id,policy,budget,reads,dense,sparse,k100,k20,certificate_calls,replay_seconds,schedule_seconds
msmarco-passage-trec-dl-2020,390360,handoff64,256,256,128,128,8,8,90,0.03917545697186142,0.02934483566787094
msmarco-passage-trec-dl-2020,390360,handoff64,512,512,198,314,10,10,223,0.11763624905142933,0.09076878987252712
nfcorpus,PLAIN-1516,handoff,128,128,126,2,100,20,4,0.0003927919315174222,5.466700531542301e-05
nfcorpus,PLAIN-1516,handoff,256,128,126,2,100,20,4,0.00039312487933784723,5.466700531542301e-05
nfcorpus,PLAIN-1516,handoff,512,128,126,2,100,20,4,0.0003934998530894518,5.466700531542301e-05
nfcorpus,PLAIN-1516,certificate-event,128,128,126,2,100,20,4,0.00038545799907296896,3.554113209247589e-05
nfcorpus,PLAIN-1516,certificate-event,256,128,126,2,100,20,4,0.0003857910633087158,3.554113209247589e-05
nfcorpus,PLAIN-1516,certificate-event,512,128,126,2,100,20,4,0.00038604100700467825,3.554113209247589e-05
nfcorpus,PLAIN-1516,balanced64,128,128,126,2,100,20,4,0.00038354203570634127,1.668115146458149e-06
nfcorpus,PLAIN-1516,balanced64,256,128,126,2,100,20,4,0.000383750069886446,1.668115146458149e-06
nfcorpus,PLAIN-1516,balanced64,512,128,126,2,100,20,4,0.0003839591518044472,1.668115146458149e-06
nfcorpus,PLAIN-1516,blocker64,128,128,126,2,100,20,4,0.0003652919549494982,7.583992555737495e-06
nfcorpus,PLAIN-1516,blocker64,256,128,126,2,100,20,4,0.0003654998727142811,7.583992555737495e-06
nfcorpus,PLAIN-1516,blocker64,512,128,126,2,100,20,4,0.00036566692870110273,7.583992555737495e-06
nfcorpus,PLAIN-1516,pressure64,128,128,126,2,100,20,4,0.00040029105730354786,2.8583919629454613e-05
nfcorpus,PLAIN-1516,pressure64,256,128,126,2,100,20,4,0.00040045706555247307,2.8583919629454613e-05
nfcorpus,PLAIN-1516,pressure64,512,128,126,2,100,20,4,0.0004006240051239729,2.8583919629454613e-05
nfcorpus,PLAIN-1516,unit,128,102,100,2,100,20,103,0.010291874990798533,5.0955452024936676e-05
nfcorpus,PLAIN-1516,unit,256,102,100,2,100,20,103,0.010292124934494495,5.0955452024936676e-05
nfcorpus,PLAIN-1516,unit,512,102,100,2,100,20,103,0.010292416904121637,5.0955452024936676e-05
nfcorpus,PLAIN-1516,handoff64,128,102,100,2,100,20,40,0.0061782499542459846,6.275181658565998e-05
nfcorpus,PLAIN-1516,handoff64,256,102,100,2,100,20,40,0.006178583018481731,6.275181658565998e-05
nfcorpus,PLAIN-1516,handoff64,512,102,100,2,100,20,40,0.006178917014040053,6.275181658565998e-05
nfcorpus,PLAIN-2920,handoff,128,128,1,127,1,1,3,0.00020250002853572369,3.758398815989494e-05
nfcorpus,PLAIN-2920,handoff,256,256,129,127,11,11,4,0.00037025008350610733,8.241704199463129e-05
nfcorpus,PLAIN-2920,handoff,512,512,231,281,18,18,210,0.09814958309289068,0.07157916633877903
nfcorpus,PLAIN-2920,certificate-event,128,128,1,127,1,1,3,0.0001461249776184559,2.091703936457634e-05
nfcorpus,PLAIN-2920,certificate-event,256,256,129,127,11,11,4,0.00028779194690287113,5.03340270370245e-05
nfcorpus,PLAIN-2920,certificate-event,512,512,240,272,18,18,18,0.006560166948474944,0.0044662951258942485
nfcorpus,PLAIN-2920,balanced64,128,128,64,64,8,8,3,0.00015600002370774746,1.500011421740055e-06
nfcorpus,PLAIN-2920,balanced64,256,256,128,128,11,11,5,0.00038275006227195263,2.249958924949169e-06
nfcorpus,PLAIN-2920,balanced64,512,512,256,256,17,17,9,0.0008990000933408737,3.33273783326149e-06
nfcorpus,PLAIN-2920,blocker64,128,128,64,64,8,8,3,0.00015279196668416262,8.750008419156075e-06
nfcorpus,PLAIN-2920,blocker64,256,256,128,128,11,11,5,0.0003661669325083494,1.0124058462679386e-05
nfcorpus,PLAIN-2920,blocker64,512,512,256,256,17,17,9,0.0009446669137105346,1.3666111044585705e-05
nfcorpus,PLAIN-2920,pressure64,128,128,64,64,8,8,3,0.00017687492072582245,3.0291033908724785e-05
nfcorpus,PLAIN-2920,pressure64,256,256,128,128,11,11,5,0.0007767078932374716,0.00040037406142801046
nfcorpus,PLAIN-2920,pressure64,512,512,256,256,17,17,9,0.002500415896065533,0.0016202490078285336
nfcorpus,PLAIN-2920,unit,128,128,62,66,8,8,129,0.0076966669876128435,7.938221096992493e-05
nfcorpus,PLAIN-2920,unit,256,256,124,132,11,11,257,0.020782416919246316,0.00015284668188542128
nfcorpus,PLAIN-2920,unit,512,512,231,281,18,18,513,0.052265584003180265,0.00029626383911818266
nfcorpus,PLAIN-2920,handoff64,128,128,64,64,8,8,4,0.0002758329501375556,8.15410166978836e-05
nfcorpus,PLAIN-2920,handoff64,256,256,124,132,11,11,124,0.03948762500658631,0.02694254496600479
nfcorpus,PLAIN-2920,handoff64,512,512,231,281,18,18,340,0.13949012500233948,0.0999449985101819
scifact,674,handoff,128,128,1,127,0,0,3,0.00020120805129408836,3.8501108065247536e-05
scifact,674,handoff,256,256,116,140,28,20,26,0.014416208141483366,0.011120417271740735
scifact,674,handoff,512,512,223,289,44,20,242,0.2708053741371259,0.2298219515942037
scifact,674,certificate-event,128,128,1,127,0,0,3,0.00017287489026784897,1.9834027625620365e-05
scifact,674,certificate-event,256,256,118,138,25,20,20,0.008980541955679655,0.006628168281167746
scifact,674,certificate-event,512,512,209,303,44,20,54,0.04888125089928508,0.04044541786424816
scifact,674,balanced64,128,128,64,64,17,17,3,0.00016495806630700827,1.207110472023487e-06
scifact,674,balanced64,256,256,128,128,24,20,5,0.0004372920375317335,1.873238943517208e-06
scifact,674,balanced64,512,512,256,256,42,20,9,0.0010842090705409646,2.8744107112288475e-06
scifact,674,blocker64,128,128,64,64,17,17,3,0.00016791606321930885,7.0410314947366714e-06
scifact,674,blocker64,256,256,128,128,24,20,5,0.0004422491183504462,8.416012860834599e-06
scifact,674,blocker64,512,512,256,256,42,20,9,0.0011277490993961692,1.0624062269926071e-05
scifact,674,pressure64,128,128,64,64,17,17,3,0.00022825004998594522,4.033301956951618e-05
scifact,674,pressure64,256,256,128,128,24,20,5,0.0015806250739842653,0.001096166088245809
scifact,674,pressure64,512,512,256,256,42,20,9,0.005894292029552162,0.0046873753890395164
scifact,674,unit,128,128,59,69,17,17,129,0.008762334007769823,7.416342850774527e-05
scifact,674,unit,256,256,116,140,28,20,257,0.025186958955600858,0.00014570611529052258
scifact,674,unit,512,512,223,289,44,20,513,0.06708854192402214,0.00028546364046633244
scifact,674,handoff64,128,128,59,69,17,17,20,0.007893332978710532,0.006088040769100189
scifact,674,handoff64,256,256,116,140,28,20,128,0.0835741669870913,0.0669893273152411
scifact,674,handoff64,512,512,223,289,44,20,344,0.33496933290734887,0.28101591230370104
scifact,1150,pressure64,128,128,64,64,12,12,3,0.00023433298338204622,3.616698086261749e-05
scifact,1150,pressure64,256,256,128,128,21,20,5,0.00125662493519485,0.0007740010041743517
scifact,1150,pressure64,512,512,256,256,25,20,9,0.004508832935243845,0.003400585032068193
